COUNTRY	Albania	Angola	Argentina	Australia	Austria	Bangladesh	Belgium	Bhutan	Brazil	Bulgaria	Burkina Faso	Canada	Cape+Verde	Chile	China	China, Hong Kong SAR	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Estonia	Ethiopia	Fiji	Finland	France	Germany	Ghana	Greece	Guatemala	Honduras	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kenya	Kuwait	Latvia	Lebanon	Libya	Lithuania	Luxembourg	Malawi	Malaysia	Malta	Mexico	Morocco	Mozambique	Namibia	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Panama	Peru	Philippines	Poland	Portugal	Romania	Russia	Saudi Arabia	Senegal	Serbia	Sierra Leone	Singapore	Slovakia	Slovenia	South Africa	South+Sudan	Spain	Sri Lanka	Suriname	Sweden	Switzerland	Syria	Taiwan	Tanzania	Thailand	Trinidad and Tobago	Turkey	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Venezuela	Viet Nam	Zambia
Albania	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Angola	0.90	1.00	0.39	0.20	0.33	0.90	0.24	0.35	0.47	0.60	1.20	0.23	0.90	0.78	0.90	0.72	1.38	1.20	0.55	0.31	0.24	0.60	2.25	0.72	0.95	0.30	0.90	1.29	0.29	0.25	0.27	1.20	0.51	3.00	0.90	0.23	0.30	0.38	1.29	0.44	0.60	0.26	0.33	0.24	0.46	0.39	0.60	0.72	0.72	0.26	0.45	0.47	0.30	0.30	0.60	0.69	0.31	0.60	0.39	1.20	0.60	0.60	0.23	0.23	0.60	0.26	1.29	1.64	1.12	0.56	0.30	0.67	0.60	0.46	0.72	0.72	0.72	0.90	0.90	0.35	0.67	0.28	1.00	0.35	0.51	0.38	0.25	0.26	0.51	1.06	0.72	0.90	1.12	0.49	0.72	0.72	0.20	0.20	0.50	1.50	0.90	0.51
Argentina	2.30	2.56	1.00	0.51	0.84	2.30	0.61	0.88	1.21	1.53	3.07	0.57	2.30	2.00	2.30	1.84	3.54	3.07	1.39	0.79	0.62	1.53	5.75	1.84	2.42	0.77	2.30	3.29	0.73	0.65	0.69	3.07	1.31	7.67	2.30	0.57	0.77	0.96	3.29	1.12	1.53	0.66	0.85	0.61	1.18	1.00	1.53	1.84	1.84	0.66	1.15	1.21	0.77	0.77	1.53	1.77	0.78	1.53	1.00	3.07	1.53	1.53	0.57	0.58	1.53	0.67	3.29	4.18	2.88	1.44	0.77	1.70	1.53	1.18	1.84	1.84	1.84	2.30	2.30	0.88	1.70	0.71	2.56	0.90	1.31	0.98	0.65	0.68	1.31	2.71	1.84	2.30	2.88	1.24	1.84	1.84	0.52	0.51	1.28	3.83	2.30	1.31
Australia	4.50	5.00	1.96	1.00	1.64	4.50	1.20	1.73	2.37	3.00	6.00	1.12	4.50	3.91	4.50	3.60	6.92	6.00	2.73	1.55	1.22	3.00	11.25	3.60	4.74	1.50	4.50	6.43	1.43	1.27	1.34	6.00	2.57	15.00	4.50	1.12	1.50	1.88	6.43	2.20	3.00	1.29	1.67	1.18	2.31	1.96	3.00	3.60	3.60	1.29	2.25	2.37	1.50	1.50	3.00	3.46	1.53	3.00	1.96	6.00	3.00	3.00	1.12	1.14	3.00	1.30	6.43	8.18	5.62	2.81	1.50	3.33	3.00	2.31	3.60	3.60	3.60	4.50	4.50	1.73	3.33	1.38	5.00	1.76	2.57	1.91	1.27	1.32	2.57	5.29	3.60	4.50	5.62	2.43	3.60	3.60	1.01	0.99	2.50	7.50	4.50	2.57
Austria	2.75	3.06	1.20	0.61	1.00	2.75	0.73	1.06	1.45	1.83	3.67	0.69	2.75	2.39	2.75	2.20	4.23	3.67	1.67	0.95	0.74	1.83	6.88	2.20	2.89	0.92	2.75	3.93	0.87	0.77	0.82	3.67	1.57	9.17	2.75	0.69	0.92	1.15	3.93	1.34	1.83	0.79	1.02	0.72	1.41	1.20	1.83	2.20	2.20	0.79	1.38	1.45	0.92	0.92	1.83	2.12	0.93	1.83	1.20	3.67	1.83	1.83	0.69	0.70	1.83	0.80	3.93	5.00	3.44	1.72	0.92	2.04	1.83	1.41	2.20	2.20	2.20	2.75	2.75	1.06	2.04	0.85	3.06	1.08	1.57	1.17	0.77	0.81	1.57	3.24	2.20	2.75	3.44	1.49	2.20	2.20	0.62	0.60	1.53	4.58	2.75	1.57
Bangladesh	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Belgium	3.75	4.17	1.63	0.83	1.36	3.75	1.00	1.44	1.97	2.50	5.00	0.94	3.75	3.26	3.75	3.00	5.77	5.00	2.27	1.29	1.01	2.50	9.38	3.00	3.95	1.25	3.75	5.36	1.19	1.06	1.12	5.00	2.14	12.50	3.75	0.94	1.25	1.56	5.36	1.83	2.50	1.07	1.39	0.99	1.92	1.63	2.50	3.00	3.00	1.07	1.88	1.97	1.25	1.25	2.50	2.88	1.27	2.50	1.63	5.00	2.50	2.50	0.94	0.95	2.50	1.09	5.36	6.82	4.69	2.34	1.25	2.78	2.50	1.92	3.00	3.00	3.00	3.75	3.75	1.44	2.78	1.15	4.17	1.47	2.14	1.60	1.06	1.10	2.14	4.41	3.00	3.75	4.69	2.03	3.00	3.00	0.84	0.82	2.08	6.25	3.75	2.14
Bhutan	2.60	2.89	1.13	0.58	0.95	2.60	0.69	1.00	1.37	1.73	3.47	0.65	2.60	2.26	2.60	2.08	4.00	3.47	1.58	0.90	0.70	1.73	6.50	2.08	2.74	0.87	2.60	3.71	0.83	0.73	0.78	3.47	1.49	8.67	2.60	0.65	0.87	1.08	3.71	1.27	1.73	0.74	0.96	0.68	1.33	1.13	1.73	2.08	2.08	0.74	1.30	1.37	0.87	0.87	1.73	2.00	0.88	1.73	1.13	3.47	1.73	1.73	0.65	0.66	1.73	0.75	3.71	4.73	3.25	1.62	0.87	1.93	1.73	1.33	2.08	2.08	2.08	2.60	2.60	1.00	1.93	0.80	2.89	1.02	1.49	1.11	0.73	0.76	1.49	3.06	2.08	2.60	3.25	1.41	2.08	2.08	0.58	0.57	1.44	4.33	2.60	1.49
Brazil	1.90	2.11	0.83	0.42	0.69	1.90	0.51	0.73	1.00	1.27	2.53	0.47	1.90	1.65	1.90	1.52	2.92	2.53	1.15	0.66	0.51	1.27	4.75	1.52	2.00	0.63	1.90	2.71	0.60	0.54	0.57	2.53	1.09	6.33	1.90	0.47	0.63	0.79	2.71	0.93	1.27	0.54	0.70	0.50	0.97	0.83	1.27	1.52	1.52	0.54	0.95	1.00	0.63	0.63	1.27	1.46	0.64	1.27	0.83	2.53	1.27	1.27	0.47	0.48	1.27	0.55	2.71	3.45	2.38	1.19	0.63	1.41	1.27	0.97	1.52	1.52	1.52	1.90	1.90	0.73	1.41	0.58	2.11	0.75	1.09	0.81	0.54	0.56	1.09	2.24	1.52	1.90	2.38	1.03	1.52	1.52	0.43	0.42	1.06	3.17	1.90	1.09
Bulgaria	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
