COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Bangladesh	Barbados	Belarus	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Honduras	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Palau	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	0 		0 		0 		0 		4 	0 			0 		0 	0 	0 			0 	0 	0 		0 			0 	0 		5 					0 	0 		0 	0 		0 	0 		C 	0 	0 		0 		0 				0 	8 
Albania	0 	0 	0 	2 				0 	0 	0 	0 		0 	6 			2 	0 		0 		0 		0 	0 	0 		3 	34 	0 	4 	0 		0 		0 		12 	0 		60 	0 		0 	0 	0 			0 	0 	81 		0 			0 	5 							C 	0 	C 	0 	0 		0 	0 		C 	0 	3 		0 		49 				C 	262 
Algeria	0 	0 	0 	0 				0 	0 		0 		0 	0 			1 	29 		0 		2 		1 	13 	0 		436 	0 	0 		0 		0 		0 		0 	0 			0 		0 	5 	0 			0 	0 	0 		0 	5 		0 	0 		0 					0 	14 		0 	0 		0 	0 		C 	0 	1 		0 		71 				0 	579 
American Samoa	0 	0 	C 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 			0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	0 		0 	1 		0 	0 							0 	0 		0 	0 		0 	0 		C 	0 			0 		0 				0 	1 
Andorra	0 	0 	0 	0 				0 	0 		0 		0 	0 			1 	0 		0 		0 		0 	0 	0 		1 	0 	0 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	7 		0 			0 	0 		0 					0 	0 		0 	0 		0 	0 		C 	78 	0 		0 		1 				0 	87 
Angola	0 	0 	C 	0 				0 	0 		4 		0 	0 			0 	0 		0 		0 		3 	0 	0 			0 	0 		0 		0 		0 		19 	0 			0 	56 	0 	0 	0 			0 	0 	56 		0 	1101 		0 	0 		6 					0 	397 		0 	0 		0 	0 	109 	C 	3 	0 		0 		58 				0 	1814 
Anguilla	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	0 		0 		0 		0 		0 	0 			0 	133 	0 	0 	0 			0 	0 	0 		0 			0 	0 							0 	0 		0 	0 		0 	0 		C 	0 			0 		0 				0 	133 
Antigua and Barbuda	0 	0 	0 	0 				0 	0 	1 	0 		0 	0 			0 	0 		0 		0 	0 	0 	0 	0 	C 	0 	0 	8 		0 		0 		0 		1 	0 		1 	2 		0 	0 	0 		0 	0 	0 	2 	0 	0 			0 	0 							0 	0 		0 	0 	C 	0 	0 		C 	0 			0 		0 	50 			0 	65 
Argentina		1 	25 	123 	100 	6 		0 	0 	38 	340 		465 	0 	109 	25 	282 	15 		6 	2 	1 	0 	484 	0 	0 	19 	188 	735 	0 	2 	42 		0 	0 	0 	1 	716 	2 	1 	3133 	273 	179 	0 	1 	0 		1 	18 	0 	2707 		C 	14 	23 	0 	568 		72 			13 	C 	C 	0 	C 	1 	307 	16 	0 	1 	8 	C 	30 	233 		1 		1348 	16602 	154 	101 	C 	29531 
Armenia, Republic of	0 	0 	0 	1 				0 	0 		2 		0 	0 			0 	0 		0 		0 		73 	0 	0 	C 	28 	55 	0 		0 		0 		0 		21 	0 		8 	6 		0 	28 	0 		1 	0 	0 	336 		0 			0 	56 							0 	0 		0 	0 		0 	0 		C 	0 	12 		0 		15 				C 	640 
Aruba	0 		0 	6 				1 	0 		0 		0 	0 	17 	11 	0 	0 		0 		0 		6 	0 	0 			1 	0 		0 		0 		0 		0 	0 		6 	35 		0 	2 	0 			0 	0 	18 		0 			0 	0 					17 		0 	0 		0 	0 		0 	0 		C 	0 	2 		0 		1 	180 			0 	303 
Australia	0 	8 		2639 	57 	204 	37 	89 	0 	5300 	10898 		9 	3 	24001 	326 	170 	24163 	1130 	187 	23 	22 	29 	2579 	0 	2 	2405 	32260 	36472 	245 	66 	1534 		10 	43 	8 	55 	43546 	105 	271 	5537 	131946 	1264 	2107 	4384 	0 		91 	77 	11 	47072 	2498 	455 	57 	1 	34 	24545 	7554 	23264 			18 	113 	1 	343 	0 	1 	1660 	29525 	358 	397 	312 	1711 	5780 	27840 	1067 	1 		91316 	318170 	155 	2 	71172 	989735 
Austria	0 	1 	595 			14 	4 	67 	0 	15500 	476 	35 	8 	128 	1060 	10 	81 	160 	7 	66 		346 	4341 	1889 	0 	114 	2995 	58173 	104297 	2 	426 	370 		759 	1 	0 		8721 	6 	182 	18588 	11327 	1405 	429 	177 	7 		86 	6 	34 	29865 	85 	476 		1 	0 	43937 		5284 			2 	C 	959 	1573 	345 	2 	41 	C 	1350 	883 	46 	4208 	717 	26398 	3 	0 		17718 	18331 	4 		29883 	415005 
Azerbaijan, Republic of	0 	0 	0 	18 				0 	0 		115 		0 	0 	15 	2 	0 	C 		0 		0 	1 	123 	0 	0 	C 	29 	262 	0 		15 		0 		0 		189 	0 		38 	24 	69 	0 	8 	0 		6 	0 	0 	760 		0 	6 		0 	206 		1 					C 	0 		0 	87 		0 	0 		C 	4 	39 	0 	32 		154 				C 	2204 
Bahamas, The	0 	0 	C 	58 		0 		3 	0 	56 	789 		1723 	0 	194 	60 	71 	132 	0 	7 	0 	4 	2 	205 	0 	0 	C 	84 	98 	0 		117 		4 		0 		215 	18 		38 	880 	757 	0 	10 	0 		0 	51 	0 	1057 	4 	C 			0 	59 		51 			0 	6 	C 	20 		0 	26 	C 	0 	0 		C 	32 	2602 	18 	0 		350 	6967 			C 	16768 
Bahrain, Kingdom of	0 	0 	C 	18 				0 	0 	14 	39 		0 	0 	9 		0 	59 		0 		31 		11 	20 	3 		139 	288 	2 		20 		0 		0 		121 	0 		34 	14 	78 	0 	13 	0 	4075 	1 	382 	1 	331 	112 	C 	0 		0 	50 	C 	49 	0 			C 	0 	0 	C 	0 	1941 	C 	0 	0 	8 	C 	0 	63 	13 	3 		464 		0 		C 	8406 
Bangladesh	0 	0 	18 	0 				0 	0 		0 		0 	0 			0 	509 		0 		0 		85 	0 	0 			7 	0 		4 		0 		0 	4 	46 	0 		0 	3 		0 	0 	0 			0 	0 	413 	6 	0 	73 		0 	4 		7 					0 	0 		0 	0 	C 	0 	0 		C 	10 	95 	0 	0 		525 				0 	1811 
Barbados	0 	1 	9 	13 					0 	0 	34 		0 	0 	50 	4 	2 	0 		0 		0 		11 	0 	0 	C 	16 	36 	0 		1 		0 		0 		50 	1 	3 	6 	67 		0 	0 	0 			0 	0 	335 		0 			0 	38 		1 			7 		0 	0 		0 	0 		0 	0 		C 	0 	4 		0 		142 	2735 	0 		0 	3566 
Belarus	0 	0 	0 	8 				0 			0 		0 	4 			0 	0 		0 		-5 	0 	33 	0 	2 	C 	23 	67 	0 		28 		0 	0 	0 		47 	0 		69 	15 		0 	0 	0 		4 	0 	0 	347 		0 			0 	49 							0 	0 	C 	2 	0 	C 	1 	0 		C 	0 	26 		4 		15 	407 			C 	1147 
Belgium	0 	2 	1561 	7665 		17 	67 	0 	0 		1605 	39 	667 	27 	2253 	58 	902 	562 	26 	48 	20 	222 	2569 	3976 	0 	126 	4151 	117814 	67192 	100 	1526 	54 		608 	3 	3 	2 	30176 	11 	85 	10623 	24150 	431 	97 	732 	43 	0 	47 	44 	14 	62660 	0 	190 	84 	22 	0 	45314 		7985 	1 		1 		15 	2115 	C 	0 	958 	C 	728 	330 	191 	6838 	2143 	8329 	12 	1 		30228 	62367 	12 		44403 	555246 
Belize	0 	0 	0 	2 				1 	0 		0 		4 	0 	6 		2 	0 		3 		0 		16 	0 	0 	C 	13 	8 	0 		0 		0 		0 		15 	0 		2 	0 		0 	0 	0 			0 	0 	48 		C 	22 		0 	6 					9 		0 	0 		0 	0 		0 	0 		C 	0 	2 		0 		1 	279 			0 	440 
Benin	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	0 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	4 		0 			0 	0 							0 	0 		0 	0 		0 	0 		C 	0 	0 		0 		0 				0 	4 
Bermuda	0 	3 	4431 	221 	19 	80 		40 	0 	1126 			1560 	2 	11930 	67 	67 	118350 	806 	0 	0 	83 	64 	1832 	0 	4 	796 	2317 	3257 	11 	12 	3119 		16 	15 	220 	66 	8899 	156 	4 	585 	22154 	137 	16 	616 	0 		6 	24 	4 	24697 	401 	107 	11 	1 	0 	8487 		2836 	0 		10 	2 	9 	50 	1 	65 	18 	8320 	1 	1 	9851 	268 	2541 	5523 	259 	1 		12772 	226689 	82 		C 	486116 
Bhutan	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	0 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	0 		0 			0 	0 							0 	0 		0 	0 		0 	0 		C 	0 	0 		0 		0 				0 	0 
Bolivia	0 	0 	0 	5 				0 	0 		2 		1 	0 		2 	6 	0 		0 		0 		53 	0 	0 	C 		52 	0 		6 		0 		0 		52 	0 		10 	4 	81 	0 	0 	0 			0 	0 	132 		0 			0 	73 					0 		0 	0 		0 	0 	C 	0 	0 		C 	0 	4 		0 		12 				0 	496 
Bonaire, Sint Eustatius and Saba	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 		0 			0 	0 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	0 		0 			0 	0 							0 	0 		0 	0 		0 	0 		C 	0 	235 		0 		118 				0 	353 
Bosnia and Herzegovina	0 	0 	0 	6 				0 	0 		0 		0 	0 			0 	0 		0 		0 		23 	0 	0 	C 	0 	12 	0 		11 		0 	0 	0 		18 	0 		0 	0 		0 	0 	0 	15 		0 	1 	189 		0 	0 		0 	1 		3 					0 	0 		0 	0 		0 	25 		C 	0 	5 		0 		0 	64 			C 	375 
Botswana	0 	0 	C 	0 				0 	0 		2 		0 	0 			0 	0 		0 		0 		9 	0 	0 	C 	4 	0 	0 		1 		0 		0 		51 	0 			0 	27 	0 	0 	0 			0 	0 	54 		0 	78 		0 	2 							0 	0 		0 	0 		0 	0 	36 	C 	1 	0 		0 		16 	100 			0 	382 
Brazil	455 	6 	4329 	596 	10520 	1329 	13 	9 	0 	666 	1707 	12 		17 	11167 	20701 	2612 	149 	20 	369 	37 	7 	20 	3081 	0 	6 	620 	6419 	7667 	264 	11 	1721 		10 	1 	8 	1 	18486 	259 	157 	1718 	15801 	395 	6 	7676 	0 		15 	38 	4 	46107 	20 	26 	2 	2719 	0 	11190 	79 	11165 	11 		557 	117 	5 	1154 	0 	4 	1909 	C 	32 	89 	128 	9878 	1784 	4517 	2109 	19 		56540 	165906 	330 	2 	C 	435506 
British Indian Ocean Territory	0 	0 	0 	0 				0 	0 		3 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	2 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	0 		0 			0 	0 							0 	0 		0 	0 		0 	0 		C 	0 			0 		0 				0 	4 
Brunei Darussalam	0 	0 	C 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 		27 	0 	0 		0 		0 		0 	0 	0 	1 			0 		0 	0 	0 			0 	0 	0 	15 	0 			0 	0 							0 	0 		0 	0 	C 	0 	0 		C 	0 	0 		0 		0 		0 		0 	44 
Bulgaria	0 	0 	C 	387 		13 		0 	0 	44 	38 		0 		2 		0 	0 		0 		11 	12 	61 	0 	44 	C 	480 	654 	0 	221 	0 		36 	0 	0 		73 	0 	4 	99 	16 		0 	0 	0 		57 	0 	41 	771 	10 	C 			0 	110 	0 	126 					38 	0 	19 	1 	15 	C 	154 	30 		C 	4 	31 		0 		195 	144 	0 		C 	3943 
Burkina Faso	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 		23 	0 	0 		0 		0 		0 		0 	0 			0 	6 	0 	0 	0 			0 	0 	0 		0 	3 		0 	0 							0 	0 		0 	0 		0 	0 		C 	0 	0 		0 		0 				0 	31 
Burundi	0 	0 	0 	1 				0 	0 		0 		0 	0 			0 	0 		0 	2 	0 	0 	10 	0 	0 		9 	5 	0 		0 		0 		0 		0 	0 		23 	0 		0 	0 	0 			0 	0 	71 		C 	57 		0 	0 						C 	0 	0 		0 	0 		0 	0 		C 	0 	0 		0 		45 				0 	223 
Cambodia	0 	0 	0 	1 				0 	0 		0 		0 	0 			0 	7 		0 		0 		0 	0 	0 			0 	6 		2 		0 		0 		0 	0 			177 		0 	1 	0 			0 	0 	396 	0 	0 	0 		0 	11 		19 					0 	0 		0 	0 	C 	0 	0 		C 	1 	0 	1 	0 		5 				0 	627 
Cameroon	0 	0 	0 	0 				0 	0 	0 	0 		0 	0 			0 	0 		0 		0 		0 	0 	0 		156 	0 	0 		0 		0 		0 		0 	0 			0 		0 	0 	0 			0 	0 	29 		0 	16 		0 	0 							C 	0 		0 	0 		0 	0 	44 	C 	0 	0 		0 		147 				0 	392 
Canada	2 	9 	18547 	2238 	20 	76 	61 	790 	0 	4695 	27516 	30 	37 	1 		131 	865 	8007 	248 	356 	30 	59 	37 	3297 	0 	6 	2518 	11942 	34578 	78 	63 	3771 	3 	41 	253 	11 	1 	33714 	261 	150 	3561 	58908 	926 	2066 	3264 	0 	0 	293 	36 	3 	46204 	116 	1177 	159 	45 	15 	18891 	352 	29050 			115 	44 	66 	216 	13 	317 	3253 	14309 	682 	177 	1394 	909 	10211 	37807 	194 	4 		28822 	839933 	231 		103775 	1361978 
Cabo Verde	0 	0 	0 	0 				0 	0 		0 		0 	0 			0 	0 		0 		0 		0 	0 	0 			0 	0 				0 		0 		0 	0 			0 	2 	0 	0 	0 			0 	0 	0 		0 			0 	0 							0 	67 		0 	0 		0 	0 		C 	0 	0 		0 		0 				0 	70 
Cayman Islands	0 	5 	23737 	3011 	715 	1828 		27 	0 	1665 	21064 		1694 	2 	23016 		901 	257567 	3132 	352 	18 	30 	45 	9888 	334 	29 	14152 	17499 	22866 	331 	497 	14547 		20 	33 	37 	436 	38786 	2396 	235 	3420 	524657 	7283 	23 	5002 	0 	873 	23 	186 	7 	82736 	1550 	212 	1403 	18 	0 	20028 	C 	2758 	25 		202 	370 	23 	2931 	5 	0 	1325 	10679 	41 	24 	403 	2150 	11327 	50957 	769 	403 		90767 	1113915 	136 		C 	2397524 
