COUNTRY	Argentina	Aruba	Austria	Bangladesh	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	India	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		C 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Albania	0 		3 		0 	0 	7 			0 	0 		0 		0 		5 	1 		3 	41 	4 	0 		0 		0 		63 	0 	0 	0 	0 			0 	0 	130 		0 	0 		5 					C 	0 	C 	0 	0 		0 	0 		C 	4 		0 		46 			C 	312 
Algeria	0 		0 			0 	0 			1 	43 		0 		12 		3 	0 		368 	0 		0 		0 		0 			0 	0 	5 	0 			0 	0 	0 		0 	5 		0 					0 	15 		0 	0 		0 	0 		C 	0 		0 		76 			0 	529 
American Samoa	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		7 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	7 
Andorra	0 		0 			1 	0 			1 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	15 		0 	0 		0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		2 			0 	18 
Angola	0 		0 			0 	0 			0 	0 		0 		0 		3 	0 			0 		0 		0 		0 			1 	0 	0 	0 			0 	0 	19 		0 	9 		0 					0 	461 		0 	0 		0 	0 	127 	C 	0 		0 		44 			0 	664 
Anguilla	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 	1 		0 	0 	0 	0 			0 	0 	0 		0 	5 		0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	6 
Antigua and Barbuda	0 		0 		1 	0 	0 			0 	0 		0 		0 	0 	0 	0 	C 	0 	0 		0 		0 		3 		1 	4 	0 	0 	0 			0 	0 	2 	0 	0 			0 					0 	0 		0 	0 	C 	0 	0 		C 			0 		0 	68 		0 	79 
Argentina			156 		37 	544 	0 	111 	12 	280 	35 		6 	1 	0 	1 	603 	0 	15 	225 	1218 	3 	0 	0 	0 	0 	594 	1 	4093 	318 	4 	9 	0 		2 	18 	0 	2908 		C 	11 	0 	593 			16 	C 	C 	0 		1 	408 	C 	0 	0 	14 	173 	229 		1 		1634 	14291 	74 	C 	28641 
Armenia, Republic of	0 		1 			0 	3 			0 	0 		0 		2 		75 	0 	C 	30 	59 		0 		0 		0 		6 	7 	0 	32 	0 		1 	0 	0 	339 		0 			55 					0 	0 		0 	0 		0 	0 		C 	10 	0 	0 		48 			C 	666 
Aruba	0 		7 			0 	0 	18 	15 	0 	0 		0 		0 		6 	0 			0 		0 		0 		0 		6 	37 	0 	2 	0 			0 	0 	30 		0 			0 					0 	0 		0 	0 		0 	0 		C 	2 		0 		0 	181 		C 	303 
