COUNTRY	Argentina	Aruba	Austria	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Pakistan	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 	0 		0 	0 			0 	0 		0 	0 		0 	0 			0 		0 		0 	C 			0 	0 	0 	0 			0 		0 					0 			0 	0 		0 	0 			0 		0 		0 		0 			0 	0 
Albania	0 		3 		0 	5 			0 	0 		0 	0 		7 	1 		3 	38 	111 	0 		0 	5 		65 	0 	0 	0 	0 			0 	0 	104 			0 		5 			C 	0 	C 	0 	0 			0 		3 		0 		16 			C 	366 
Algeria	0 		0 		0 	0 			0 	50 		0 	1 		3 	0 		272 	0 		0 		0 	0 			0 	0 	0 	0 	161 		0 		0 			22 		0 			0 	15 		0 	0 			0 		0 		0 		247 			0 	770 
American Samoa	0 		0 		0 	0 			0 	0 		0 	0 		0 	0 			0 		0 		0 	0 			0 	0 	0 	0 			0 		0 					0 			0 	0 		0 	0 			0 				0 		0 			C 	0 
Andorra	0 		0 		0 	0 			0 	0 		0 	0 		0 	0 		1 	0 		0 		0 	0 			16 	0 	0 	0 			0 		16 					0 			0 	0 		0 	0 			0 		0 		0 		1 			0 	34 
Angola	0 		0 		0 	0 			0 	0 		0 	0 		0 	0 			0 		0 		0 	1 			2 	0 	0 	0 			0 		10 			9 		0 			0 	161 		0 	9 			0 	88 	0 		0 		93 			0 	372 
Anguilla	0 		0 		0 	0 			0 	0 		0 	0 		0 	0 		9 	0 		0 		0 	0 	1 		0 	0 	0 	0 			0 		0 					0 			0 	0 		0 	0 			0 				0 		203 			0 	213 
Antigua and Barbuda	0 		0 	0 	0 	0 			0 	0 		0 	0 	0 	0 	0 	C 	0 	1 	0 	0 		0 	1 		1 	0 	0 	0 	0 		22 	0 	0 	2 	0 				0 			0 	0 		0 	0 	C 		0 				0 		0 	52 		0 	81 
Argentina		1 	112 	42 	407 	0 	102 	212 	129 	67 		0 	0 	0 	286 	0 	9 	206 	611 	3 	0 	0 	1 	174 	1 	2985 	330 	0 	11 	0 		2 	66 	0 	2000 			11 	8 	432 		C 	C 	0 		1 	90 	23 		0 	12 	159 		2 		2444 	7748 	103 	C 	18789 
Armenia, Republic of	0 		0 		0 	0 			0 	0 		0 	0 		0 	0 		18 	0 		0 		0 	0 			0 	0 	35 	0 			0 		173 					0 			0 	0 		0 	0 			0 		0 		0 		0 			C 	226 
