COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 			0 	0 	0 			0 		0 	0 		6 				0 	0 		0 			0 		C 	0 	0 		0 		0 	0 	0 	0 	0 	6 
Albania	0 		C 	21 			0 		0 		0 	3 			19 	0 		0 			0 		0 	0 		0 	3 	32 	3 	120 	0 				0 	13 	0 		44 	0 		0 	0 	0 				0 	95 					0 	5 		6 				C 	0 		0 			0 		C 	0 	24 		0 		73 	82 	0 	0 	C 	545 
Algeria	0 		0 	0 			0 		0 		0 	0 			0 	25 		0 			2 		3 	0 		0 	399 	0 			0 			0 	0 	0 	0 			0 		0 	0 	0 	165 			0 	0 			6 		0 	0 						0 	16 		0 			0 		0 	0 	1 		0 		1136 	0 	0 	0 	0 	1753 
American Samoa	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 		12 				0 	0 		0 			0 		0 	0 	0 		0 		0 	0 	0 	0 	0 	12 
Andorra	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 	1 	0 			0 				0 	0 	0 			19 	8 	0 	0 	0 				0 	1 					0 	0 						0 	0 		0 			0 		0 	0 	0 		0 		6 	5 	0 	0 	0 	40 
Angola	0 		0 	0 			0 		0 		1 	0 		2 	0 	0 		0 			0 		0 	0 		0 		0 			16 				0 	1 	0 	1 		0 	42 	0 	0 	0 				0 	0 					0 	0 		1 				0 	447 		0 			0 	79 	0 	0 	0 		0 		134 	7 		0 	0 	730 
Anguilla	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 	9 	0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 						0 	0 		0 			0 		0 	0 	0 		0 		0 	403 		0 	0 	412 
Antigua and Barbuda	0 		0 	0 			1 	0 	0 		0 	0 			0 	0 		0 			0 	0 	0 	0 		0 	0 	0 		0 	0 				0 	4 	0 		1 	0 		0 	0 	0 		30 		0 	1 	0 				0 	0 						0 	0 		0 	C 		0 		C 	0 	0 		0 		0 	44 		0 	0 	81 
Argentina			18 	238 	127 	2 	0 	34 	140 		132 	0 	105 	56 	147 	42 		2 	7 	12 	4 	2 	544 	0 		C 	291 	780 		3 	187 	0 	1 		0 	175 	1 	1 	2972 	575 	15 	0 	27 	0 		3 	22 	0 	3113 	0 		18 	1 	0 	621 		44 		17 	0 	5 	0 		1 	C 		0 	2 	C 	19 	178 	0 	1 		2234 	9584 	89 	112 	C 	22704 
Armenia, Republic of	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 	17 	0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	140 					0 	3 				0 		0 	0 		1 			0 		0 	0 	1 		0 		0 	0 		0 	0 	161 
Aruba	0 		0 	10 			1 		0 		1 	0 		22 	0 	0 		0 		247 	0 		0 	0 		0 		3 			1 				0 	4 	0 		0 	534 		0 	0 	0 				0 	6 					0 	0 				0 		0 	0 		0 			0 		0 	0 	1 		0 		48 	548 		0 	0 	1426 
Australia	2 	2 		2163 	18 	162 	1055 	4949 	7166 	5 	9 	0 	19073 	285 	51 	30373 	548 	24 	7 	80 	108 	73 	1303 	0 		1227 	23449 	18733 	5 	84 	1319 	3 	22 	138 	129 	22720 	233 	440 	4627 	156562 	1977 	1201 	2371 	0 		36 	51 	8 	41022 	1301 	345 	260 	8 	65 	20416 	15671 	10908 	0 	27 	188 	1 	503 	0 	67 	24679 	169 	143 	505 	1824 	5914 	25029 	2419 	2 		89755 	333584 	57 	2 	83699 	961357 
Austria	0 		1384 		15 	25 	212 	15084 	1059 		208 	89 	946 	15 	56 	423 	14 	1 	56 	1 	186 	2411 	3253 	0 	168 	3844 	72705 	92011 	17 	769 	572 	877 	17 		2 	6631 	29 	79 	17717 	16236 	1891 	439 	64 	44 		19 	0 	45 	27583 	50 	428 			0 	32357 	C 	5841 	0 	1 		442 	2028 	500 	90 	C 	1589 	922 	39 	6753 	574 	2064 		5 		7107 	11522 	36 	0 	46843 	386392 
Azerbaijan, Republic of	0 		0 	0 			0 		0 		0 	0 			0 	0 		1 			0 		0 	0 		0 		0 			7 				0 	0 	0 			0 	34 	0 	0 	0 			0 	0 	116 					0 	3 		1 		0 		0 	0 		1 			0 		0 	0 	4 		0 		67 	7 		0 	0 	240 
Bahamas, The	0 		C 	57 			368 	9 	0 		2509 	0 	288 	665 	8 	11 	12 	0 		785 	0 	0 	281 	0 		108 	379 	10 	1 		456 	0 			0 	308 	2 		59 	1692 	696 	0 	0 	0 	118 	0 	0 	0 	1248 	7 				0 	98 		90 		7 	0 	0 	32 		2 	C 		0 	0 	C 	127 	1770 		0 		35 	5253 	0 	0 	0 	17493 
Bahrain, Kingdom of	0 		0 	38 			0 	3 	116 		0 	0 	1 		0 	48 	0 	0 			17 	0 	17 	64 		0 	120 	94 	1 	3 	59 			0 	0 	61 	0 		8 	36 	496 	0 	0 	0 	6781 		332 	0 	145 	52 				0 	9 		80 	11 	1 	0 	0 	0 	C 	0 	C 		0 		C 	0 	51 	0 	6 		489 	0 		0 	0 	9140 
Bangladesh	0 		0 	0 			0 	1 	0 		0 	0 			0 	349 		0 			1 		94 	0 		0 		0 			0 			0 	4 	8 	0 			0 	31 	0 	0 	0 	38 			0 	29 					0 	0 		2 		0 		0 	0 		0 	C 		0 		0 	0 	0 		0 		174 	80 		0 	0 	811 
Barbados	0 	2 	0 	34 				1 	199 		0 	0 	45 	9 	0 	0 		0 	5 		0 		15 	0 		0 		32 			52 				0 	100 	0 		3 	24 		0 	0 	0 				0 	164 					0 	19 				3 		0 	0 		0 			0 		0 	0 	9 	23 	0 		68 	1580 	0 	0 	C 	2388 
Belarus	0 		0 	12 		1 	0 		0 		0 	5 			0 	0 		0 			49 		26 	0 		0 	9 	39 			37 	1 	0 		0 	4 	0 	1 	35 	13 		0 	0 	0 		0 	0 	1 	199 					0 	22 				0 		0 	0 	C 	551 	C 	0 	0 		0 	0 	0 		1 		285 	239 	0 	0 	0 	1533 
Belgium	0 	0 	1024 	4182 		49 	10 		1204 		115 	129 	2625 		19 	360 	7 	0 	1 	22 	691 	2111 	1776 	17 	181 	1803 	102714 	33683 	26 	273 	572 	135 	2 	1 	0 	10089 	13 	26 	8347 	14326 	1208 	104 	241 	39 	62 	6 	68 	20 	47742 	0 	224 			0 	24232 	C 	6526 	0 	0 	0 	45 	2605 	0 	4 	C 	352 	577 	22 	8248 	1246 	5771 	5 	0 		29938 	34015 	65 	0 	44531 	394432 
Belize	0 		0 	4 		0 	1 	0 	0 		5 	0 		1 	0 	3 		0 	2 		0 		25 	0 		0 	4 	12 			0 				0 	4 	0 		1 	2 		0 	0 	0 		23 		0 	17 			7 		0 	8 				0 		0 	0 		19 	C 		0 		C 	0 	0 		0 		0 	308 	0 	0 	0 	445 
Benin	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		2 	0 		0 	18 	0 			0 				0 	0 	0 			0 	23 	0 	0 	0 				0 	5 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	1 		0 	0 	49 
