COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				0 					0 		0 	4 				0 	0 	0 	0 				0 	0 	0 				0 	0 		0 	0 	4 
Albania	0 		C 	0 				3 	0 	0 	0 	0 		0 	0 				0 		0 	0 			2 	1 		70 	0 					0 	0 		63 	0 		0 	0 			0 	7 					11 		0 	6 				0 	0 	0 	0 				0 	0 	0 				0 	13 		0 	C 	177 
Algeria	0 		0 	0 				0 	0 	0 	0 	0 		0 	0 				0 		0 	0 			38 	0 			0 					0 	0 			0 	9 	0 	0 				0 			29 		0 		0 					0 	0 	0 	0 				0 	0 	0 				0 			0 	0 	76 
American Samoa	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 		0 		0 					0 		0 					0 	0 	0 	0 				0 	0 					0 	0 		0 	0 	0 
Andorra	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 			321 	0 			0 					0 	0 			0 		0 	0 				2 					0 		0 					0 	0 	0 	0 				0 	15 	0 	7 			-84 	7 	0 	0 	0 	269 
Angola	0 		0 	0 					0 	1 	0 	0 	4 	0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				0 			12 		0 		0 					0 	139 	0 	0 				0 	0 	0 				65 	0 		0 	0 	220 
Anguilla	0 		0 	0 					0 	18 	0 	0 		0 	C 				0 		0 	0 			65 	0 			0 					0 	0 	2 		0 		0 	0 				0 					0 	0 	0 					0 	0 	0 	0 				0 	104 		5 			C 	4 		0 	0 	199 
Antigua and Barbuda	0 		0 	0 				1 	0 	0 	0 	0 		0 	0 				0 	0 	0 	0 			0 	0 	7 		0 					0 	0 		1 	0 		0 	0 				0 					0 		0 					0 	0 	0 	0 				C 	0 					0 	29 		0 	0 	38 
Argentina			C 	72 	38 	0 	0 	49 	34 	106 	0 	22 	232 	392 	19 		1 	8 	4 	0 	247 	0 		0 	435 	419 		3 	145 	1 	0 			125 	0 		1814 	804 	12 	0 	5 		67 	0 	1340 				50 	782 	20 	0 	18 		8 	0 	0 	0 	0 	0 	15 			C 	50 	92 		0 		1334 	4246 	42 	327 	C 	13380 
Armenia, Republic of	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 			16 	0 			4 					1 	0 			0 		0 	0 				42 					0 		0 			0 		0 	0 	0 	1 				0 	1 	0 				0 	0 		0 	C 	65 
Aruba	0 		0 	7 					1 	0 	0 	0 	16 	0 	16 				20 		0 	0 			25 	8 			0 					4 	0 		0 	1455 	4 	0 	0 				14 					92 	155 	0 	25 		1 		0 	0 	0 	0 				0 	0 	1 				1522 	908 		0 	C 	4274 
Australia	43 	1 		2203 	8 	209 	806 	4213 	3681 	2 	0 	8196 	299 	357 	34279 	664 	4 	4 	726 	88 	655 	0 	34 	900 	17521 	15833 	1 	54 	1176 	9 	18 	3 	106 	19755 	151 	294 	2868 	64595 	2777 	584 	1096 		0 	6 	32210 	170 	166 	186 	4 	14598 	24 	6280 	7990 		8 	0 	C 	761 	0 	780 	20191 	1 	45 	3630 	4523 	11972 	1002 			62098 	145542 	1 	0 	21569 	517969 
Austria	53 		574 		13 	38 	2 	9317 	444 	2118 	48 	955 	22 	20 	387 	22 	23 	1 	525 	1882 	1025 	3 	244 	2765 	61620 	83732 	28 	274 	2031 	758 	3 			10903 	29 	193 	21212 	16055 	2535 	47 	8 		10 	5 	32504 	5 	424 	1 		16980 	20 	0 	5071 		3 		548 	1484 	426 	23 	693 	683 	20 	5353 	1004 	36297 	82 	25 		13598 	9923 	15 	0 	39881 	384987 
Azerbaijan, Republic of	0 		0 	0 					0 	0 	0 	2 		0 	0 				0 		8 	0 	1 			0 			3 					0 	0 			0 	9 	0 	0 		4 		63 					1 		0 	1 		0 		0 	0 	0 	7 				0 	4 	11 				116 	0 		0 	C 	231 
