COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 					0 		0 	0 		0 	0 			0 	0 		0 					0 		0 	0 					0 	0 			0 		0 	0 	0 	0 		0 			1 		0 			5 				0 	0 	0 	0 				0 		0 	0 			0 		0 			0 	6 
Albania	0 		C 	0 				14 	0 		0 	0 		1 	0 			0 	0 		0 					1 		26 	0 					12 	0 		27 	0 		0 	0 		0 	0 	4 					0 			0 				0 	0 	0 	0 				0 		0 	0 			0 	12 	0 			C 	97 
Algeria	0 		0 	0 					0 		0 	0 		0 	C 			0 	0 		0 				27 	0 		0 	0 					0 	0 			2 	2 	0 	0 		0 		0 					0 			0 				0 	0 	0 	0 				0 		0 	0 			45 		0 			0 	77 
American Samoa	0 		0 	0 					0 		0 	0 		0 	0 			0 	0 		0 					0 		0 	0 					0 	0 			0 		0 	0 		0 		0 					0 			0 				0 	0 	0 	0 				0 			0 			0 		0 			0 	0 
Andorra	0 		0 	0 				1 	0 	0 	0 	0 		0 	0 			0 	0 		0 				0 	-1 		0 	5 					0 	0 			3 		0 	0 		0 		2 	0 				0 	10 		0 				0 	0 	0 	0 				0 		0 	0 			181 	9 	0 			0 	210 
Angola	0 		0 	0 				0 	0 	0 	0 	0 		0 	0 			0 	0 		0 					0 		0 	0 					0 	0 			0 		0 	0 		0 		0 			8 		0 			0 				0 	95 	0 	0 			5 	0 		55 	0 			56 		0 			0 	218 
Anguilla	0 		0 	0 					0 	0 	0 	0 		0 	C 			0 	0 		0 				36 	0 		0 	0 					0 	0 	2 	0 	0 		0 	0 		0 		0 					0 			0 				0 	0 	0 	0 				0 			0 			622 	4 	0 			0 	663 
Antigua and Barbuda	0 		0 	0 			0 	1 	0 	0 	0 	0 		0 	0 			0 	0 	0 	0 				0 	0 	10 	0 	0 					0 	0 		0 	0 		0 	0 		0 		0 					7 			0 				0 	0 	0 	0 				1 			0 			0 	33 	0 			0 	53 
Argentina			36 	312 	71 		0 	89 	0 	77 	0 	142 	142 	179 	24 		4 	2 	0 	0 	746 			0 	828 	1372 		5 	515 	1 	2 			718 	0 		4875 	1358 	26 	0 	12 		0 	1 	3344 				9 	1488 	14 		62 		54 	20 	C 	7 	0 	0 			19 	266 	32 	269 	0 	1 		6733 	11018 	43 		10 	C 	34926 
Armenia, Republic of	0 		0 	0 				0 	0 		0 	0 		0 	0 			0 	0 		0 					0 		0 	0 					0 	0 			0 		1 	0 		0 		1 	5 				0 			0 				0 	0 	0 	11 				0 		0 	0 			0 		0 			C 	19 
