COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 			0 		0 	1 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		1 
Albania	0 	0 		0 	0 	0 		11 	0 		0 	0 		0 	0 		0 		0 		0 				0 	1 		11 				0 		15 		0 	30 	1 			0 		0 	48 		0 			1 	0 		5 			0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	5 	0 	0 	C 	129 
Algeria	0 	0 		1 	0 	0 		0 	0 		0 	1 		0 	1 		0 		0 		0 				19 	0 			59 			0 		19 		0 		0 	6 		0 		0 	1 		0 	31 		10 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	C 	0 	0 		147 
American Samoa	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 			0 			0 		0 		0 		0 			0 		0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 		0 	0 		0 
Andorra	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 			2 			0 		0 		0 		2 			0 		0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	2 	0 	0 		7 
Angola	0 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 			0 		0 	0 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		0 
Anguilla	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	C 		0 		1 		0 				36 	0 			2 			0 		0 		0 	0 	0 			0 		0 	0 		0 	0 		0 	0 				1 	0 	0 	0 		0 		0 	0 	0 			0 			10 	2 	0 	0 		53 
Antigua and Barbuda	0 	0 		0 	0 	0 		0 	0 	4 	0 	0 		0 	C 		0 		0 		0 				0 	0 						0 		1 		0 	0 	0 			0 		0 	0 		0 			10 	0 					0 	0 	0 		0 		0 	0 	0 	0 		0 			6 	12 	0 	0 		33 
Argentina		0 	13 	147 	107 	0 	7 	136 	20 	72 	0 	108 	56 	37 	12 	4 	2 	4 	30 	0 	253 				329 	1174 		3 	137 	0 		0 		74 	0 	2 	11420 	1757 	27 		0 		2 	1355 	0 	0 	7 	261 	677 	42 		513 		7 	11 	0 	0 		0 	19 	0 	0 	140 	14 	337 	0 	0 		2472 	4827 	225 	1 		26842 
Armenia, Republic of	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		5 		0 	0 	0 			0 		0 	0 		0 			0 	0 					0 	0 	0 		8 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	13 
Aruba	0 			4 	0 	0 		0 	2 		0 	7 	10 	0 	23 	0 	0 		5 		0 				95 	7 			1 			0 		0 		0 	1 	0 			3 		0 	38 		0 			332 	98 					0 	0 	0 		0 		0 	0 	0 		8 	0 			347 	1114 	0 	69 		2164 
Australia	5 	0 		1538 	255 	196 	370 	2033 	2679 	1 	0 	6909 	98 	19 	31062 	699 	0 	2 	522 	61 	683 	3 	12 	563 	18743 	7457 	11 	132 	650 	24 	16 	0 	2 	13245 	93 	148 	3802 	41622 	5356 	31 	92 	2 	2 	24346 	147 	140 	129 	196 	9612 	5 	4533 	2899 		9 	27 	16 	288 		25 	14097 	1 	26 	4410 	3357 	7299 	219 	0 		53658 	103412 	2 	4 	C 	367994 
Austria	31 	0 	420 		25 	28 	84 	8398 	393 	296 	17 	650 	379 	31 	1275 	72 	2 		216 	1356 	992 	3 	50 	3398 	25210 	63564 	0 	1485 	2472 	94 	2 	0 		8396 	30 	63 	7571 	11816 	3523 	56 	6 	1 	16 	23618 	24 	309 			14867 	12 	7 	2976 			0 	216 	767 	9 	49 	686 	269 	1 	3240 	857 	24390 	0 	1 		16927 	15249 	74 	0 	C 	246966 
Azerbaijan, Republic of	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	1 	0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 	0 		0 	0 	0 	0 	C 	2 
Bahamas, The	0 	0 		20 		0 		26 	2674 	317 	0 	67 	178 	0 	799 	4 	0 		56 		90 	7 			1211 	53 			571 			0 		74 	9 	0 	396 	2725 	214 			8 	22 	667 		0 	5 		99 	133 		6 		139 	1 	0 	236 		31 		0 	2 	68 	19 	5012 	0 			1033 	2652 	0 	0 	C 	19625 
Bahrain, Kingdom of	0 	0 		0 	0 			0 	144 		0 	0 		0 	4 		0 		4 		0 	28 			0 	4 			3 			0 		0 	0 	0 	7 	0 	64 			1812 	1 	15 	17 	0 			15 	0 		6 			0 	0 	0 		0 		0 	0 	0 		1 	0 	8 		C 	C 	0 	0 		2132 
Bangladesh	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	92 		0 		0 		14 				0 	0 			3 			0 		0 		0 		0 					0 	0 		0 	3 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 	C 	112 
Barbados	0 	0 		0 	22 	0 		3 	6 		0 	2 		0 	1 		0 		26 		0 				0 	0 			3 			0 		19 		0 	0 	20 	12 				0 	34 		0 			0 	0 					0 	0 	0 		0 		0 	0 	7 	6 	0 	0 			126 	256 	0 	0 	C 	542 
Belarus	0 	0 		0 	0 	0 		8 	0 		0 	0 		0 	0 		0 		0 		0 		0 	0 	0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		52 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	60 
Belgium	2 	0 	529 	4465 	4 	14 	270 		455 	76 	20 	1559 	42 	26 	794 	26 	6 		102 	50 	2136 	12 	65 	3114 	67702 	20406 	0 	65 	1225 	13 	8 	0 	3 	9878 	3 	1 	11141 	18867 	537 	76 	33 		1 	47099 	0 	114 	0 	0 	30379 	12 	22 	1884 	0 	0 	85 	96 	2835 		1 	627 	7 	6 	10312 	2049 	5935 	1 	0 		22547 	23973 	1 	1 	C 	291713 
Belize	0 	0 	C 	0 	0 	0 		0 	0 	59 	0 	0 	6 	0 	0 		0 	0 	0 		0 				1 	3 						0 		0 		0 	0 	0 					0 	15 		0 			0 	1 				0 	0 	0 	0 		0 		0 	0 	0 		21 	0 			C 	60 	0 	0 		166 
Benin	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		1 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	1 
Bermuda	0 	0 	C 	832 	25 	1039 	15 	414 		26 	0 	3935 	210 	1 	47091 	221 	2 	0 	31 	36 	666 	8 	2 	164 	4955 	1628 		60 	3176 	1 	3 	0 		1472 	1412 	8 	4119 	9809 	270 	14 	257 	23 	6 	7625 	42 	0 	20 		3951 	37 		1009 		3 	0 	C 	26 		16 	3976 	1 	1137 	222 	664 	4383 	0 			5105 	164074 	31 	0 	C 	274253 
Bhutan	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	0 
Bolivia	0 	0 		0 	0 	0 		0 	0 	4 	0 	0 		0 	C 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	3 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 	1 		0 	0 	0 	0 		7 
Bonaire, Sint Eustatius and Saba																																																																										
Bosnia and Herzegovina	0 	0 		19 	0 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 		20 				0 	7 			9 			0 		1 		0 	61 	0 					0 	28 		0 			14 	0 					0 	0 	0 		0 		0 	0 	0 	1 	10 	0 			C 	149 	0 	0 	C 	320 
Botswana	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				7 	0 			21 			0 		0 		0 	0 	0 					0 	16 	0 	0 	4 		3 	0 					0 	0 	0 		0 		0 	33 	0 	1 	0 	0 			C 	7 	0 	0 		90 
Brazil	328 	0 	192 	669 	6080 	0 		271 	200 		0 	2465 	6718 	156 	80 	4 	13 	21 	-18 	1 	1248 	77 		4 	1444 	4834 		46 	472 	22 		0 	9 	1505 	2 	1 	5267 	2656 	158 		4 		11 	12764 	1 	0 	5 	4 	4266 	62 		352 		93 	12 	0 	1303 		0 	190 	17 	5 	5948 	141 	1338 	0 	41 		7604 	62999 	1162 	3 	C 	133252 
British Indian Ocean Territory	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			C 	0 	0 	0 		0 
Brunei Darussalam	0 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	21 		0 		0 		0 				0 	0 			10 			0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		31 
Bulgaria	0 	0 	2 	247 	0 	0 		1 	6 			2 		0 	C 	2 	0 		66 	3 	149 		10 		95 	676 		402 	38 			0 		29 		0 	131 	36 	21 				0 	454 		0 			180 	0 		0 			0 	0 	0 		3 		1 	0 	16 	10 	8 	0 			426 	1173 	0 	0 	C 	4184 
Burkina Faso	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		4 	0 			0 	0 	0 	0 	C 	4 
Burundi	0 	0 		0 	0 	0 		1 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 					0 	2 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		3 
Cambodia	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	C 		0 		0 		0 				0 	0 						0 	0 	0 		0 		0 					0 	2 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		2 
Cameroon	0 	0 		0 	0 	0 		6 	0 		0 	0 		0 	0 		0 		0 		0 				11 	0 						0 		0 		0 	0 	0 					0 	24 		0 	72 		0 	0 					0 	0 	0 		0 		0 	0 	0 		2 	0 			C 	0 	0 	0 		115 
