COUNTRY	X
Afghanistan	Afghan Persian
Akrotiri	English
Albania	Albanian
Algeria	Arabic
American Samoa	Samoan
Andorra	Catalan
Angola	Portuguese
Anguilla	English
Antigua and Barbuda	English
Argentina	Spanish
Armenia	Armenian
Aruba	Papiamento
Australia	English
Austria	German
Azerbaijan	Azerbaijani
Bahamas, The	English
Bahrain	Arabic
Bangladesh	Bangla
Barbados	English
Belarus	Russian
Belgium	Dutch
Belize	English
Benin	French
Bermuda	English
Bhutan	Sharchhopka
Bolivia	Spanish
Bosnia and Herzegovina	Bosnian
Botswana	Setswana
Brazil	Portuguese
British Virgin Islands	English
Brunei	Malay
Bulgaria	Bulgarian
Burkina Faso	French
Burma	Burmese
Burundi	Kirundi
Cabo Verde	Portuguese
Cambodia	Khmer
Cameroon	English
Canada	English
Cayman Islands	English
Central African Republic	French
Chad	French
Chile	Spanish
China	Standard Chinese or Mandarin
Christmas Island	English
Cocos (Keeling) Islands	Malay
Colombia	Spanish
Comoros	Arabic
Congo, Democratic Republic of the	French
Congo, Republic of the	French
Cook Islands	English
Costa Rica	Spanish
Cote d'Ivoire	French
Cuba	Spanish
Curacao	Papiamento
Cyprus	Greek
Czech Republic	Czech
Denmark	Danish
Dhekelia	English
Djibouti	French
Dominica	English
Dominican Republic	Spanish
Ecuador	Spanish
Egypt	Arabic
El Salvador	Spanish
Equatorial Guinea	Spanish
Eritrea	Tigrinya
Estonia	Estonian
Ethiopia	Oromo
Falkland Islands (Islas Malvinas)	English
Faroe Islands	Faroese
Fiji	English
Finland	Finnish
France	French
French Polynesia	French
Gabon	French
Gambia, The	English
Gaza Strip	Arabic
Georgia	Georgian
Germany	German
Ghana	Asante
Gibraltar	English
Greece	Greek
Greenland	Greenlandic
Grenada	English
Guam	English
Guatemala	Spanish
Guinea-Bissau	Crioulo
Guinea	French
Guyana	English
Haiti	French
Holy See (Vatican City)	Italian
Honduras	Spanish
Hong Kong	Cantonese
Hungary	Hungarian
Iceland	Icelandic
India	Hindi
Indonesia	Bahasa Indonesia
Iran	Persian
Iraq	Arabic
Ireland	English
Isle of Man	English
Israel	Hebrew
Italy	Italian
Jamaica	English
Japan	Japanese
Jersey	English
Jordan	Arabic
Kazakhstan	Kazakh
Kenya	English
Kiribati	I-Kiribati
Korea, North	Korean
Korea, South	Korean
Kosovo	Albanian
Kuwait	Arabic
Kyrgyzstan	Kyrgyz
Laos	Lao
Latvia	Latvian
Lebanon	Arabic
Lesotho	Sesotho
Liberia	English
Libya	Arabic
Liechtenstein	German
Lithuania	Lithuanian
Luxembourg	Luxembourgish
Macau	Cantonese
Macedonia	Macedonian
Madagascar	French
Malawi	English
Malaysia	Bahasa Malaysia
Maldives	Dhivehi
Mali	French
Malta	Maltese
Marshall Islands	Marshallese
Mauritania	Arabic
Mauritius	Creole
Mexico	Spanish
Micronesia, Federated States of	English
Moldova	Moldovan
Monaco	French
Mongolia	Khalkha Mongol
Montenegro	Serbian
Montserrat	English
Morocco	Arabic
Mozambique	Emakhuwa
Namibia	Oshiwambo languages
Nauru	Nauruan
Nepal	Nepali
Netherlands	Dutch
New Caledonia	French
New Zealand	English
Nicaragua	Spanish
Nigeria	English
Niger	French
Niue	Niuean
Norfolk Island	English
Northern Mariana Islands	Philippine
Norway	Bokmal Norwegian
Oman	Arabic
Pakistan	Punjabi
Palau	Palauan
Panama	Spanish
Papua New Guinea	Tok Pisin
Paraguay	Spanish
Peru	Spanish
Philippines	Filipino
Pitcairn Islands	English
Poland	Polish
Portugal	Portuguese
Puerto Rico	Spanish, English
Qatar	Arabic
Romania	Romanian
Russia	Russian
Rwanda	Kinyarwanda
Saint Barthelemy	French
Saint Helena, Ascension, and Tristan da Cunha	English
Saint Kitts and Nevis	English
Saint Lucia	English
Saint Martin	French
Saint Pierre and Miquelon	French
Saint Vincent and the Grenadines	English
Samoa	Samoan
San Marino	Italian
Sao Tome and Principe	Portuguese
Saudi Arabia	Arabic
Senegal	French
Serbia	Serbian
Seychelles	Seychellois Creole
Sierra Leone	English
Singapore	Mandarin
Sint Maarten	English
Slovakia	Slovak
Slovenia	Slovenian
Solomon Islands	Melanesian pidgin
Somalia	Somali
South Africa	IsiZulu
South Sudan	English
Spain	Castilian Spanish
Sri Lanka	Sinhala
Sudan	Arabic
Suriname	Dutch
Svalbard	Norwegian
Swaziland	English
Sweden	Swedish
Switzerland	German
Syria	Arabic
Taiwan	Mandarin Chinese
Tajikistan	Tajik
Tanzania	Kiswahili or Swahili
Thailand	Thai
Timor-Leste	Tetum
Togo	French
Tokelau	Tokelauan
Tonga	English
Trinidad and Tobago	English
Tunisia	Arabic
Turkey	Turkish
Turkmenistan	Turkmen
Turks and Caicos Islands	English
Tuvalu	Tuvaluan
Uganda	English
Ukraine	Ukrainian
United Arab Emirates	Arabic
United Kingdom	English
United States	English
Uruguay	Spanish
Uzbekistan	Uzbek
Vanuatu	local languages
Venezuela	Spanish
Vietnam	Vietnamese
Virgin Islands	English
Wallis and Futuna	Wallisian
Western Sahara	Standard Arabic
Yemen	Arabic
Zambia	Bembe
Zimbabwe	Shona
