COUNTRY	X
Afghanistan	Muslim
Albania	Muslim
Algeria	Muslim
American Samoa	Christian
Andorra	Roman Catholic
Angola	indigenous beliefs
Anguilla	Protestant
Antigua and Barbuda	Protestant
Argentina	nominally Roman Catholic
Armenia	Armenian Apostolic
Aruba	Roman Catholic
Australia	Protestant
Austria	Catholic
Azerbaijan	Muslim
Bahamas, The	Protestant
Bahrain	Muslim
Bangladesh	Muslim
Barbados	Protestant
Belarus	Eastern Orthodox
Belgium	Roman Catholic
Belize	Roman Catholic
Benin	Catholic
Bermuda	Protestant
Bhutan	Lamaistic Buddhist
Bolivia	Roman Catholic
Bosnia and Herzegovina	Muslim
Botswana	Christian
Brazil	Roman Catholic
British Virgin Islands	Protestant
Brunei	Muslim
Bulgaria	Eastern Orthodox
Burkina Faso	Muslim
Burma	Buddhist
Burundi	Catholic
Cabo Verde	Roman Catholic
Cambodia	Buddhist
Cameroon	Christian
Canada	Catholic
Cayman Islands	Protestant
Central African Republic	indigenous beliefs
Chad	Muslim
Chile	Roman Catholic
China	Buddhist
Christmas Island	Buddhist
Cocos (Keeling) Islands	Sunni Muslim
Colombia	Roman Catholic
Comoros	Sunni Muslim
Congo, Democratic Republic of the	Roman Catholic
Congo, Republic of the	Roman Catholic
Cook Islands	Protestant
Costa Rica	Roman Catholic
Cote d'Ivoire	Muslim
Croatia	Roman Catholic
Cuba	Roman Catholic
Curacao	Roman Catholic
Cyprus	Orthodox Christian
Czech Republic	Roman Catholic
Denmark	Evangelical Lutheran
Djibouti	Muslim
Dominica	Roman Catholic
Dominican Republic	Roman Catholic
Ecuador	Roman Catholic
Egypt	Muslim
El Salvador	Roman Catholic
Equatorial Guinea	Christian
Eritrea	Muslim
Estonia	Orthodox Christian
Ethiopia	Ethiopian Orthodox
European Union	Roman Catholic
Falkland Islands	Christian
Faroe Islands	Evangelical Lutheran
Fiji	Protestant
Finland	Lutheran
France	Christian
French Polynesia	Protestant
Gabon	Catholic
Gambia, The	Muslim
Gaza Strip	Muslim
Georgia	Orthodox Christian
Germany	Protestant
Ghana	Christian
Gibraltar	Roman Catholic
Greece	Greek Orthodox
Greenland	Evangelical Lutheran
Grenada	Roman Catholic
Guam	Roman Catholic
Guatemala	Roman Catholic
Guernsey	Protestant
Guinea-Bissau	Muslim
Guinea	Muslim
Guyana	Protestant
Haiti	Roman Catholic
Holy See (Vatican City)	Roman Catholic
Honduras	Roman Catholic
Hong Kong	eclectic mixture of local religions
Hungary	Roman Catholic 37.2%
Iceland	Evangelical Lutheran Church of Iceland
India	Hindu
Indonesia	Muslim
Iran	Muslim
Iraq	Muslim
Ireland	Roman Catholic
