COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 			0 		0 		0 	0 		12 	0 	0 		0 			0 		0 		0 			0 		0 	0 	0 		0 	0 	0 	0 			0 		0 	0 	0 			0 		0 					0 	0 		6 				0 	0 		0 	0 		0 	0 			0 	0 		0 		0 	0 			0 	18 
Albania	0 		C 	3 			0 	0 	0 		0 	7 			0 	0 		0 			0 		5 		1 		3 	41 		4 	0 	0 		0 	0 	0 	0 		59 	0 		0 	0 	0 			0 	0 	102 					0 	6 						C 	0 	C 	0 	0 		0 	0 			0 	4 		0 		33 	230 			C 	498 
Algeria	0 		0 	0 			0 		0 		0 	0 			1 	12 		0 			2 		3 	4 	0 		339 	0 		0 	0 	0 		0 	0 	0 	0 			0 		0 	5 	0 	163 		0 		0 			5 		0 	0 		0 				0 	16 		0 	0 		0 	0 			0 	0 		0 		7 				0 	557 
American Samoa	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 	0 	0 		0 			0 		0 	0 	0 		0 	0 	0 	0 			0 		0 	0 	0 			0 		0 					0 	0 		22 				0 	0 		0 	0 		0 	0 			0 			0 		0 				C 	22 
Andorra	0 		0 	0 			0 		0 		1 	0 			1 	0 		0 			0 		0 		0 		0 	0 		0 	0 	0 		0 	0 	0 	0 			0 		0 	0 	0 			0 		9 					0 	0 		0 		3 		0 	0 		0 	0 		0 	0 		C 	0 	4 		0 		-9 	1 	0 		0 	11 
Angola	0 		C 	0 			0 		68 		0 	0 			0 	0 		0 			7 		3 		0 			0 		0 	10 	0 		0 	0 	18 	0 			4 	48 	0 	0 	0 			0 		10 			9 		0 	0 		5 				0 	435 		0 	16 		0 	0 	92 		0 	0 		0 		132 	0 			0 	856 
Anguilla	0 		0 	0 			0 	0 	0 		0 	0 			0 	0 		0 			0 		0 		0 		8 	0 		0 	0 	0 		0 	0 	0 	0 	1 		0 		0 	0 	0 			0 		0 					0 	0 		0 				0 	0 		0 	0 		0 	0 			1 			0 		198 	661 			0 	869 
Antigua and Barbuda	0 		C 	0 			0 	1 	0 		0 	0 			0 	0 		0 		1 	0 	0 	0 		0 	C 	6 	1 		0 	0 	0 		0 	0 	0 	0 		1 	3 		0 	0 	0 			0 		2 	0 				0 	0 						0 	0 		0 	0 	C 	0 	0 		C 	0 			0 		0 	134 			0 	150 
Argentina			16 	130 	147 	1 	364 	38 	24 		409 	0 	126 		284 	33 		5 	0 	9 	1 	1 	356 		0 	9 	177 	913 		3 	112 	0 	0 	0 	0 	247 	1 	1 	3439 	236 	160 	4 	15 	0 		2 	12 	0 	2289 			14 	62 	0 	394 		39 		19 	C 	C 	0 		1 	97 	17 	0 	0 	11 	C 	17 	217 		3 		1931 	9067 	107 	76 	C 	21637 
Armenia, Republic of	0 		0 	1 			0 		0 		0 	3 			0 	0 		0 			0 		57 		0 	C 	21 	88 		0 	4 	0 		0 	0 	0 	0 		6 	7 		0 	32 	0 		1 	0 		324 					0 	48 						0 	0 		0 	0 		0 	0 			0 	9 	0 	0 		20 	221 			C 	842 
Aruba	0 		0 	17 	52 		5 		0 		0 	0 	17 	14 	0 	0 		42 		237 	0 		3 		0 			0 		0 	41 	0 		0 	0 	0 	0 		5 	41 		0 	1 	0 			0 		19 					0 	10 						0 	0 		0 	0 		0 	0 			3 	1 		0 		4 	172 			C 	683 
Australia	1 	7 		2532 		366 	1071 	4657 	6365 	1 	7 	49 	23124 	393 	353 	27064 	418 	55 	5 	54 	10 	26 	2182 		1 	1968 	31733 	32465 	31 	94 	1320 	6 	33 	13 	65 	31974 	285 	245 	4610 	133386 	1884 	1988 	3846 	0 		32 	88 	10 	44040 	1973 	364 	138 		34 	23789 	23587 	23993 	5 	14 	99 	1 	474 	C 	0 	1868 	28610 	185 	336 	293 	C 	6301 	30029 	1212 	7 		91238 	337805 	95 	2 	72305 	1003618 
Austria	0 	1 	1234 		1 	13 	2 	14413 	542 		7 	133 	1028 	8 	139 	464 	33 	124 	0 	9 	83 	3234 	2085 		60 	3066 	66342 	115174 	8 	506 	450 	638 	2 	0 	0 	9303 	5 	117 	18922 	16625 	2233 	513 	226 	42 		15 	5 	33 	29783 	104 	444 	0 		0 	40962 	C 	5396 	1 		C 	1067 	1923 	580 	51 	291 	C 	1368 	970 	105 	6175 	894 	32033 	3 	1 		17018 	18777 	8 		32401 	448196 
Azerbaijan, Republic of	0 	0 	0 	8 			0 		0 		0 	0 	14 		0 	0 		0 			0 		76 		0 	C 	4 	143 		0 	13 	0 		0 	0 	0 	0 		12 	22 	13 	0 	12 	0 		3 	0 		496 			5 		0 	125 		1 				0 	0 		0 	40 		0 	0 			1 	8 		5 		434 	231 			C 	1668 
Bahamas, The	0 		0 	44 		5 	358 	12 	1 		914 	0 	179 	29 	115 	109 	17 	0 	0 	179 	0 	0 	307 		0 	80 	65 	84 	3 	0 	194 	1 		0 	0 	211 	1 		38 	1771 	734 	0 	10 	0 			0 	0 	832 	5 				0 	57 		94 		0 	6 	0 	0 		0 	25 	C 	0 	0 		C 	28 	3091 	91 	0 		359 	5646 	0 		C 	15696 
