COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	0 		6 				0 	0 		0 			0 			0 	0 		1 		0 	0 	0 		0 	7 
Albania	0 		C 	4 			0 	0 	0 		0 	6 			0 	0 		0 			0 		6 		1 	0 	3 	41 		104 	0 	0 		0 	0 	24 	0 		43 	0 		0 	0 	0 				0 	109 					0 	5 						C 	0 	C 	0 			0 			0 	8 		0 		12 	91 	0 		C 	458 
Algeria	0 		0 	0 			0 		0 		0 	0 			0 	15 		0 			2 		3 			0 	260 	0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 	164 				0 			22 		0 	0 		0 				0 	16 		0 			0 			0 	1 		0 		228 	0 	0 		0 	710 
American Samoa	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 	0 	0 			0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 			0 		0 					0 	0 		18 				0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	18 
Andorra	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	1 	0 			0 	0 		0 	0 	0 	0 			17 		0 	0 	0 					41 					0 	0 				0 		0 	0 		0 			0 			3 	0 		0 		1 	8 	0 		0 	71 
Angola	0 		37 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			13 	0 		0 	0 	1 	0 			1 		0 	0 	0 					0 			14 		0 	0 		4 		0 		0 	404 		0 			0 	99 		0 	0 		0 		98 	7 	0 		0 	679 
Anguilla	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	9 	0 			0 	0 		0 	0 	0 	0 	1 		0 		0 	0 	0 					0 					0 	0 		1 		0 		0 	0 		0 			0 			1 	0 		0 		372 	1 	0 		0 	385 
Antigua and Barbuda	0 		C 	0 			0 	0 	0 		0 	0 			0 	0 		0 		6 	0 	0 	0 			0 	0 	0 		0 	0 	0 		0 	0 	0 	0 		1 	0 		0 	0 	0 		24 		0 	2 					0 	0 				0 		0 	0 		0 	C 		0 		C 	0 	0 		0 		0 	66 	0 		0 	99 
Argentina		1 	20 	172 	147 	1 	0 	25 	71 		196 	0 	98 	251 	88 	50 		4 	1 	53 	4 	0 	413 			0 	225 	628 		3 	136 	0 	0 	0 	1 	174 	1 	1 	3027 	343 	155 	2 	13 	0 		3 	21 	0 	2150 			11 	7 	0 	453 		30 		7 	0 	C 	0 		1 	22 		0 	12 	146 	13 	191 		3 		2487 	7110 	115 	112 	0 	19195 
Armenia, Republic of	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	18 	0 			0 	0 		0 	0 	165 	0 			0 		0 	0 	0 					150 					0 	3 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		C 	336 
Aruba	0 		C 	21 			0 		1 		0 	0 	1 	17 	0 	6 		0 		291 	0 		3 			0 	1 	11 			0 	0 		0 	0 	22 	0 		5 	484 		0 	4 	0 					35 					0 	3 				9 		0 	0 		0 	C 		0 			0 	2 		0 		12 	502 	0 		0 	1430 
Australia	1 	6 		2467 	6 	186 	1379 	5436 	10922 	4 	6 	1 	23236 	414 	196 	33904 	549 	25 	6 	62 	4 	24 	1957 		1 	2033 	29182 	27575 	32 	100 	1261 	3 	12 	29 	102 	31443 	238 	327 	4854 	165569 	1374 	1674 	3529 	0 	0 	10 	152 	11 	39469 	1737 	370 	216 	0 	28 	23394 	17560 	21108 		20 	222 	1 	476 	0 	205 	26950 	120 	223 	291 	1665 	7174 	28472 	2496 	6 		87348 	351064 	158 	1 	C 	961074 
Austria	0 	1 	1324 			24 	94 	14104 	1669 		8 	113 	999 	9 	225 	525 	34 	31 	23 	1 	83 	3219 	2090 		165 	2656 	68696 	108003 	6 	658 	382 	918 	2 	0 	0 	8215 	31 	92 	18932 	16233 	1019 	588 	91 	8 		42 	5 	38 	28927 	37 	413 			0 	36840 		5762 		0 	0 	805 	2257 	705 	264 	C 	1421 	858 	3 	6532 	783 	2391 	9 	5 		12596 	14408 	27 		35446 	401849 
Azerbaijan, Republic of	0 		C 	7 		0 	0 		0 		0 	0 	4 		0 	C 		0 			0 		21 			0 	5 	26 			9 	0 		0 	0 	1 	0 		11 	15 	84 	0 	13 	0 		2 	1 		287 					0 	83 				0 		0 	0 		1 	C 		0 			0 	11 		5 		34 	87 	0 		C 	707 
Bahamas, The	0 	0 	C 	41 			400 	13 	0 		1081 	0 	130 	70 	15 	2 	15 	0 	0 	96 	0 	0 	368 			148 	137 	62 	2 		266 	0 		0 	0 	282 	2 	1 	38 	1710 	691 	0 	0 	0 		0 	5 	1 	1096 	6 		3 		0 	237 		93 		6 	17 	0 	33 	C 	0 	C 		0 		C 	19 	1615 	148 	0 		199 	5467 	7 		0 	14525 
Bahrain, Kingdom of	0 		C 	30 			0 	3 	251 		0 	0 			0 	51 	0 	0 			17 		7 	35 	1 	0 	34 	190 		3 	65 	0 		0 	0 	53 	0 		27 	35 	358 	0 	3 	0 	6388 		360 	1 	233 	78 				0 	110 		48 	11 	0 	0 	0 	0 	C 	0 	C 		0 		C 	0 	36 	15 	5 		516 	0 	0 		C 	8964 
Bangladesh	0 		0 	0 			0 	0 	0 		0 	0 			0 	467 		0 	0 		0 		97 			0 		0 			0 	0 		0 	1 	9 	0 			0 		0 	1 	0 	35 				91 			10 		0 	3 		6 		0 		0 	0 		0 	C 		0 			0 	1 		0 		257 	102 	0 		0 	1082 
Barbados	0 	1 	C 	36 				3 	173 		0 	0 	52 	4 	0 	0 		0 			0 		7 			0 	0 	33 			19 	0 		0 	0 	37 	0 	1 	6 	24 		0 	0 	0 					257 					0 	30 				5 		0 	0 		0 			0 			0 	17 	9 	0 		227 	1684 	1 		0 	2627 
