COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 		0 			0 		0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 	0 			0 			13 		0 			5 				0 	0 	0 	0 				0 	0 	0 				0 	0 	0 	0 	0 	18 
Albania	0 		C 	0 		0 		14 	0 		0 	0 		5 	0 				0 		0 				3 	1 		60 	0 					13 	0 		21 	0 		0 	0 			0 	0 					0 							0 	0 	0 	0 				0 	0 	0 				28 	13 	0 	0 	C 	158 
Algeria	0 		0 	0 		0 		0 	0 	0 	0 	0 		0 	0 				0 		0 				36 	0 			0 					0 	0 		0 	0 	40 	0 	0 				0 			19 		0 							0 	0 	0 	0 				0 	52 	0 				-1 	0 	0 	0 	0 	146 
American Samoa	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 		0 		0 	2 				0 							0 	0 	0 	0 				0 	0 					0 	0 	0 	0 	0 	3 
Andorra	0 		0 	0 		0 		0 	0 	0 	0 	0 		0 	0 				0 		0 			0 	0 	0 			4 					0 	0 	1 	0 	0 		0 	0 				0 					0 	10 		22 				0 	0 	0 	3 				0 	0 	0 	4 			-36 	14 	0 	0 	0 	23 
Angola	0 		0 	0 		0 		0 	0 	0 	0 	0 	4 	0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 				0 			7 		0 							0 	290 	0 	0 				0 	0 	0 				169 	0 	0 	0 	0 	470 
Anguilla	0 		0 	0 		0 		0 	0 	0 	0 	0 		0 	C 				0 		0 				99 	0 			0 					0 	0 	2 	0 	0 		0 	0 				0 					0 							0 	0 	0 	0 				0 	0 					663 	15 	0 	0 	0 	779 
Antigua and Barbuda	0 		0 	1 		0 	0 	1 	0 	0 	0 	0 		0 	0 				0 		0 				0 	1 			0 					1 	0 		0 	0 		0 	0 			0 	0 					1 							0 	0 	0 	0 				1 	0 					1 	127 	0 	0 	0 	136 
Argentina		0 	45 	294 	101 	0 	1 	105 	59 	213 	0 	152 	391 	201 	36 		2 	16 	0 	0 	960 			0 	1130 	1287 		3 	515 	0 	1 			1575 	0 		4937 	1468 	94 	0 	10 		4 	1 	4200 			0 	131 	2139 	17 		74 		37 	19 	0 	31 	0 	62 	117 			401 	26 	262 		0 		5233 	9826 	145 	350 	C 	36672 
Armenia, Republic of	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 				16 	0 			0 					0 	0 		0 	0 		0 	0 				0 					0 							0 	0 	0 	6 				0 	0 	0 				0 	0 	0 	0 	C 	22 
Aruba	0 		0 	6 	3 	0 		0 	0 	0 	0 	7 	16 	0 	14 	1 			24 		0 				18 	12 			0 					40 	0 		7 	1066 		0 	1 			0 	0 					222 	136 		31 				0 	0 	0 	0 				0 	0 	4 				156 	1102 	0 	0 	C 	2867 
