COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5 
Albania	0 	0 	0 	0 	0 	0 	0 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	3 	1 	0 	18 	0 	0 	0 	0 	0 	17 	0 	0 	25 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	0 	C 	88 
Algeria	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 		0 	21 	2 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	4 	5 	0 	0 	0 	0 	1 	0 		215 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	60 	0 	0 	0 	0 	0 	317 
American Samoa	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Andorra	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	9 	0 	0 	0 	0 	4 	0 	0 	0 	3 	0 	0 	0 	0 	0 	3 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	5 	0 	0 	0 	0 	25 
Angola	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	84 	0 	0 		0 	11 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	98 
Anguilla	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	0 	0 		0 	65 	0 	0 	0 	2 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	181 	3 	0 	0 	0 	0 	254 
Antigua and Barbuda	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 		0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	1 	0 		0 	0 	0 	C 	34 	0 	0 	0 	0 	45 
Argentina		0 	29 	221 	90 	0 	0 	140 	36 	49 	0 	87 	133 	39 	23 	0 	2 	5 	10 	0 	380 	0 		0 	316 	7 	2 	2 	353 	0 	6 	0 	0 	663 	0 	0 	4601 	888 	83 	0 	0 	0 	1 	2577 	0 		0 	113 	835 	30 	C 	0 	0 	28 	16 	0 	11 	0 	2 	8 	0 	0 	174 	22 	213 	0 	2 	0 	6716 	6852 	36 	0 	830 	C 	26632 
Armenia, Republic of	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	C 	3 
