COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Albania	0 	0 		0 			8 	0 			0 		0 					0 		0 				17 	0 	33 					18 	0 		29 	0 						1 					14 							0 			0 			0 	0 	0 	1 	0 			0 	4 	0 		0 	C 	124 
Algeria	0 	0 		3 			0 	0 			2 		0 					0 		0 				15 	0 	0 	0 				13 	0 		0 	0 	7 				0 	6 					4 							0 			0 			0 	0 	0 	1 	0 			C 		0 		0 		49 
American Samoa	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 	0 					0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Andorra	0 	0 		0 			32 	0 			0 		0 					0 		0 				0 	0 	0 	5 					0 		0 	2 						0 					0 							0 			0 		1 	0 	0 	0 	0 	0 			0 		0 		0 		40 
Angola	0 	0 		0 			0 	0 	0 		0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 	20 		0 			0 	0 	0 	0 	0 			0 		0 		0 		20 
Anguilla	0 	0 		0 			19 	0 			0 		0 					0 		0 				23 	0 	0 	1 					0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 	0 	0 		0 		43 
Antigua and Barbuda	0 	0 		0 			0 	0 	19 		0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					11 							0 			0 			0 	0 	0 		0 			C 	1 	0 		0 		32 
Argentina		0 	C 	189 	94 	0 	128 	61 	69 	0 	189 	206 	52 	C 	4 	5 	4 	0 	1 	1617 				321 	1298 	0 	102 	0 			67 	0 	2 	4331 	1843 	12 				1 	1099 			0 	85 	208 	38 	0 	2 		12 	8 	0 	0 		8 	11 		0 	133 	9 	341 	0 	1 		1321 	4315 	71 		3 		18263 
Armenia, Republic of	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 	C 	0 
Aruba	0 			0 			0 	14 			6 	0 	0 					0 		0 				51 	5 	0 	2 					0 		4 	0 	37 		14 		0 	13 					416 	42 						0 	0 		0 			0 	0 	1 	6 	0 			C 	906 	0 		67 		1584 
Australia	1 	0 		1116 	255 	19 	1635 	1972 	1 		4471 	551 	42 	25717 	548 		0 	298 	31 	615 	5 	2 	377 	8012 	4850 	123 	540 	19 	5 	2 	10784 	84 	157 	3149 	33599 	5920 	45 	46 	2 	2 	19914 	57 	82 	-17 		8218 	14 	3770 	2272 		4 	20 	16 	216 		0 	10958 	0 	143 	1814 	1596 	5852 	162 			34896 	90502 	1 	16 	0 	C 	285502 
Austria	19 	0 	232 		25 	3 	6751 	396 	2 	14 	229 	198 	12 	927 	27 	1 		113 	1016 	1416 		56 	2694 	21446 	49587 	1768 	1852 	18 	1 	0 	6608 	44 	37 	6352 	11205 	2043 	49 	4 	1 	15 	18845 	0 	281 	0 		11378 	5 	0 	2752 		2 		75 	712 		48 	550 	180 	1 	2398 	612 	20900 	0 	9 		11711 	10372 	8 		20 	C 	196022 
Azerbaijan, Republic of	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 	0 		0 				0 			0 			0 	0 	0 	0 	0 			C 		0 		0 	C 	0 
Bahamas, The	0 	0 		3 			60 	2177 	388 		105 	106 	0 	81 	0 		3 	33 		43 			80 	856 	130 	0 	446 				67 	17 		417 	1550 	161 			8 	1 	465 			0 	221 	167 	50 		0 		113 		0 	0 		0 			2 	29 	0 	6008 	0 			86 	2912 	0 		0 	C 	16783 
Bahrain, Kingdom of	0 	0 		0 			0 	0 			0 	0 	0 		1 			1 		0 	9 			0 	11 	0 	4 					1 		3 	0 				1431 	1 	5 	0 				0 			11 				0 	0 		0 			0 	0 	0 	1 	0 	7 		C 		0 		0 		1485 
Bangladesh	0 	0 		0 			0 	0 			0 		0 					0 		5 				0 	0 	0 	1 					0 		0 	0 	4 					0 					0 							0 			0 			0 	0 	0 	0 	0 			C 	0 	0 		0 	C 	10 
Barbados	0 	0 		0 	22 		1 	6 			2 	107 	0 				0 	2 		52 				0 	0 	0 	5 				43 	0 		0 	7 						13 					0 	6 						0 	0 		0 			0 	6 	0 	1 	0 			C 	253 	0 		0 	C 	526 
Belarus	0 	0 		0 			7 	0 			0 		0 					0 		0 			0 	0 	0 	0 						0 		0 	0 						0 					0 							0 			1 			0 	0 	0 	0 	0 			0 	0 	0 		0 	C 	8 
