COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 		0 		0 	0 			0 	0 	0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Albania	0 	0 		0 		8 	0 			0 		0 			0 		0 		0 		0 		27 	0 	19 	0 	0 						45 	0 					0 				0 										0 			0 	0 		0 	1 			C 	6 	0 				107 
Algeria	0 	0 		3 		0 	0 			1 	0 	0 			0 		0 		1 		0 		42 	0 			0 			11 			0 	0 					10 				0 										0 			0 	0 		1 	0 			C 		0 				70 
American Samoa	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 		0 	0 						0 						10 				0 										0 			0 	0 			0 			0 		0 				10 
Andorra	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		6 	0 		9 	0 						0 	73 					0 				24 			0 							0 		1 	0 	0 		0 	0 			0 	0 	0 				112 
Angola	0 	0 		0 		0 	0 	0 		0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								16 		0 			0 	0 		0 	0 			0 	0 	0 				16 
Anguilla	0 	0 		0 		1 	0 			0 		0 			0 		1 		0 		0 		1 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				3 
Antigua and Barbuda	0 	0 		0 		0 	0 	4 		0 		0 			0 		0 		1 		0 		0 	0 			0 						0 	3 					0 				0 										0 			0 	0 			0 			0 	0 	0 				8 
Argentina		0 	1 	207 	31 	220 	53 	66 	0 	208 	331 	16 	2 	5 	7 	1 	0 		238 		0 		379 	1378 		8 	0 	0 		38 	0 		4363 	1855 	18 			1 	342 	0 		0 	296 	88 		9 		42 	4 		0 		1 			0 	77 	12 	290 	0 	1 		C 	3615 	38 		3 		14243 
Armenia, Republic of	0 	0 		0 		0 	0 			0 	0 	0 			0 		0 		0 		0 		0 	0 			0 						1 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				1 
Aruba	0 			0 		0 	0 			0 		0 	0 		0 		0 		0 		0 		0 	0 			0 						0 						0 				0 	36 							0 		0 			0 	0 		0 	0 			C 	542 	0 				579 
Australia	0 	0 		780 	176 	1681 	939 	1 	0 	2708 	443 	36 	21694 	415 	16 		223 	46 	309 	8 	0 	115 	4958 	2674 	99 	576 	22 	1 	1 	5864 	123 	72 	2429 	22435 	4374 	8 	20 	6 	10913 	127 	63 	35 	3869 	12 	1770 	2514 		2 	10 	3 	119 		0 	8107 	0 	61 	567 	767 	3466 	50 	0 		C 	58616 	0 	26 		C 	164348 
Austria	120 	0 	85 		21 	3869 	370 	9 	10 	166 	196 	6 	815 	22 	2 		95 	427 	1024 	7 	52 	1595 	14621 	38432 	198 	897 	25 	0 		4775 	15 	41 	4277 	9473 	624 	17 		6 	14792 	3 	199 		8531 	223 		1529 		1 		52 	653 	1 	2 	442 	39 	4 	1695 	927 	18803 	0 			C 	5761 	6 			C 	135954 
Azerbaijan, Republic of	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				1 										0 			0 	0 		0 	0 			3 	0 	0 				4 
Bahamas, The	0 	0 		22 		11 	1291 	401 		32 	181 	1 	72 	0 	0 		57 		35 	0 	0 		648 	27 		212 	0 			159 	8 		584 	2353 	95 			55 	412 				55 			0 		90 	11 		0 		0 			1 	12 	1 	4613 	0 			C 	1922 	0 			C 	13361 
Bahrain, Kingdom of	0 	0 		0 	6 	0 	0 			0 	1 	0 			0 		1 		0 	2 	0 		0 	0 		1 	0 				10 		2 	0 				1 	2 	1 			0 			5 					0 		0 			0 	0 	1 	0 	0 			C 		0 				32 
Bangladesh	0 	0 		0 		0 	0 			0 		0 			0 		0 		2 		0 		0 	0 		1 	0 						0 	0 					0 			9 	0 				1 						0 			0 	0 		0 	0 			C 	2 	0 			C 	15 
Barbados	0 	0 		1 	184 	0 	8 			17 	5 	0 		0 	0 	0 	23 		0 		0 		0 	0 		1 	0 			8 			0 	2 					12 			45 	0 	2 		0 					0 		0 			0 	5 		0 	0 			C 	141 	0 			C 	455 
Belarus	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	3 			0 						0 	0 					0 				0 										1 			0 	0 		0 	0 			0 	0 	0 				4 
Belgium	1 	0 	289 	3449 	12 		250 	6 	0 	373 	1 	10 	1589 	1 	5 		14 	349 	1702 	28 	4 	1932 	38379 	14838 	50 	1202 	5 	2 		6176 	23 	29 	6965 	12359 	543 	27 	24 	2 	33031 	1 	55 	4 	22628 	10 		1546 	0 			9 	1249 		15 	228 	3 	9 	5750 	1276 	4074 	0 	0 		13578 	12358 	0 		0 	C 	186463 
Belize	0 	0 		0 		0 	2 	1 		0 	7 	0 			0 	0 	0 		0 		0 		0 	3 			0 						0 	0 					8 				0 	7 				0 			0 		0 			0 	0 		2 	0 			C 	37 	0 				68 
Benin	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Bermuda	0 	0 	57 	616 	45 	288 		166 	0 	557 	23 	1 	23007 	83 	0 	0 	0 	7 	90 	2 	0 		2062 	1052 	1 	2172 	0 	0 	0 	423 	425 	4 	1159 	1901 	39 	2 	27 	5 	1880 	47 	4 		510 	13 		173 		10 	0 		38 		11 	1863 	0 	290 	305 	49 	2532 	3 			C 	97036 	12 			C 	138989 
Bhutan	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 			C 	0 
Bolivia	0 	0 		0 		0 	1 	0 		0 		0 			0 		0 		0 		0 		1 	0 			0 						0 	0 					1 				0 			0 					0 		0 			0 	252 		0 	0 			C 	0 	0 				255 
Bonaire, Sint Eustatius and Saba																																																																					
Bosnia and Herzegovina	0 	0 		0 	1 	0 	0 			2 		0 			0 		0 		0 		0 		2 	5 		2 	0 						1 	0 					10 				0 										0 			0 	0 	1 	2 	0 			C 	28 	0 				53 
Botswana	0 	0 		0 		0 	0 			9 		0 			0 		0 		0 		0 		0 	0 		2 	0 				0 		0 	0 					9 			33 	0 										0 			21 	0 	0 	0 	0 			C 	11 	0 				85 
Brazil	260 	0 	139 	581 	4395 	124 	130 			1407 	2699 	50 	13 	10 	5 	33 	42 	0 	234 	2 	0 		1490 	3144 	2 	221 	0 			300 	7 	12 	3806 	4086 	150 		3 	7 	2759 	7 	0 		1459 	86 		66 		63 	6 		438 		2 	120 	0 	2 	59 	76 	916 	0 	18 		6782 	24865 	432 		6 		61513 
British Indian Ocean Territory	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 	2 			0 										0 			0 	0 	46 		0 			C 	0 	0 				47 
Brunei Darussalam	0 	0 		0 		0 	0 			0 		0 	C 		0 		0 		0 		0 		0 	0 		7 	0 						0 	0 	2 				12 				0 										0 			0 	0 		0 	0 			0 	0 	0 				20 
Bulgaria	0 	0 	C 	92 		16 	20 			5 	5 	1 		2 	0 		38 		69 		0 		71 	449 	28 	11 	0 			60 			195 	78 	5 		0 		389 	3 			155 	1 							0 		3 		0 	0 	2 	0 	10 	0 	0 		C 	1474 	0 				3182 
Burkina Faso	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 			2 			0 	0 					2 				0 										0 			0 	0 		1 	0 			0 	0 	0 				6 
Burundi	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Cambodia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 		0 				0 	0 					0 	0 			0 										0 			0 	0 		0 	0 			0 	0 	0 				1 
Cameroon	0 	0 		0 		0 	0 			0 		0 			0 		0 		2 		0 		8 	0 		0 	0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				10 
Canada	1 	0 	1288 	1254 	162 	1890 	2086 	4 	1 		877 	47 	7139 	57 	11 	0 	243 	30 	1094 	15 	0 	457 	10258 	5286 	14 	1127 	0 	38 	3 	9511 	91 	31 	2127 	22826 	964 	33 	44 	6 	11597 	45 	45 	3 	2989 	226 	109 	6181 		4 		4 	55 		3 	2273 	4 	51 	1043 	750 	7213 	0 	1 		19211 	230841 	3 		6 	7803 	359475 
Cabo Verde	0 	0 		0 		0 	0 			0 		0 	1 		0 		0 		0 		0 		0 	0 			0 						5 	0 					0 				0 								0 		0 			0 	0 		0 	0 			0 	0 	0 				6 
Cayman Islands	0 	0 	C 	5704 	284 	4976 	7045 	885 		2233 		73 	26682 	249 	101 	6 	46 	1773 	333 	6 	0 		28845 	18143 	490 	4777 	0 	10 	77 	8170 	395 	32 	13002 	175166 	6724 	3 	1902 	7 	24447 	501 	166 	12 	4368 	6973 		529 		181 	16 	151 	8263 		5 	1613 	0 	10 	25282 	669 	15733 	5 	35 		50736 	87488 	25 		12 	C 	535358 
Central African Republic	0 	0 		0 		0 	0 			0 		0 	0 		0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				1 
Chad	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Chile	23 	0 	4 	50 	18 	19 	24 	1 		51 	28 		86 		0 	0 	0 		19 		0 		62 	192 		289 	0 			75 	16 		81 	66 	2 		2 		226 				579 	1 				2 			0 		0 			0 	477 	11 	30 	0 			761 	6097 	3 				9295 
China, P.R.: Hong Kong	0 	0 	1605 	66 	3 	318 	3766 	0 		2527 	329 	0 		1174 	0 		0 	0 	382 		0 	121 	932 	709 	2 	246 	0 	2 	68 	1900 	232 	6 	831 	4356 	284 	2 	553 	1 	3596 	155 	0 	61 	1947 	8 	4 		1 		98 		0 		0 	4395 		29 	11 	530 	589 	29 			13928 	23657 	0 			C 	69450 
China, P.R.: Macao	0 	0 		0 		0 	0 			0 		0 	6 		0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 	1 							52 		0 			0 	0 		0 	0 			C 	0 	0 				59 
China, P.R.: Mainland	0 	0 	70 	18 		19 	1 	0 		125 	162 	0 	8194 	79 	0 	0 	1 	0 	123 		0 		431 	145 		112 	0 	1 		173 			157 	1458 	60 		42 	0 	1061 	4 		432 	120 	1 		477 			3 		0 		0 	1705 		0 	369 	104 	99 	4 			2321 	4963 	0 			C 	23031 
Christmas Island	0 	0 		0 		0 	0 			0 		0 			0 		0 		14 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 			0 			0 	0 	0 				14 
Cocos (Keeling) Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 	0 		0 			0 	0 	0 				0 
Colombia	0 	0 	C 	40 	61 	1 	15 	3 		12 	198 	8 				3 	0 		55 		0 		97 	268 		23 	0 			55 			472 	375 	3 			0 	216 	2 			52 	-6 				453 			0 	0 	0 		0 	0 	23 	1 	44 	0 			C 	2683 	1 				5159 
Comoros	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								0 		0 			0 	0 		0 	0 			0 	0 	0 				0 
Congo, Democratic Republic of	0 	0 		0 		1 	0 			0 		0 			0 		0 		0 		0 		0 	0 		0 	0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				1 
Congo, Republic of	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		2 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				2 
Cook Islands	0 	0 		0 		0 	0 			0 		0 	0 		0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Costa Rica	1 	0 		7 	94 	0 	1 	0 		7 	52 	0 			0 		0 		2 		0 		6 	3 			0 			2 			2 	0 					23 			2 	0 					264 			0 		0 			0 	0 		2 	0 			C 	218 	0 				686 
Cote d'Ivoire	0 	0 		2 		101 	0 			0 		0 			0 		0 		0 		0 		266 	0 		0 	0 			205 			1 	12 					59 			0 	22 	0 									0 			0 	0 		173 	0 			C 	118 	0 				959 
Croatia	0 	0 	C 	489 		4 	18 		4 	24 	0 	8 			0 		42 	6 	18 		2 		66 	1113 	42 	5 	29 			32 	0 		103 	523 	10 		3 		431 	1 	1 		145 	1 		3 					0 		0 			0 	2 	4 	31 	0 			377 	629 	0 				4164 
Cuba	0 	0 		0 		0 	0 	0 		0 		0 			0 		0 		0 		0 		0 	0 		9 	0 						12 	0 					1 				0 	2 									0 			0 	0 		1 	0 			C 	0 	0 				24 
Curacao																																																																					
Curacao & St. Maarten																																																																					
Cyprus	0 	0 		83 		31 	0 			0 		0 			0 			15 	3 		1 		106 	491 	493 	61 	0 			25 	1 		6 	59 	3 		4 	0 	154 		1 		66 	2 		8 					19 		10 		44 	0 	23 	1 	75 	0 			C 	92 	0 				1876 
Czech Republic	0 	0 	2 	323 		122 	0 			14 		0 			0 		20 		30 		2 		82 	380 	8 	16 	13 			289 			98 	16 	52 				653 				21 			69 					0 		0 		24 	0 	16 	37 	33 	0 			C 	685 	0 				3006 
Denmark	0 	0 	340 	4542 	12 	2987 	354 	0 		681 	29 	0 	507 	26 	0 		34 	4 		7 	8 	1517 	3688 	9594 	57 	348 	0 	7 	9 	2420 	320 	13 	1527 	5588 	596 	20 	3 	0 	7406 	9 	14 		4445 	6 	1 	7449 				0 	209 		0 	834 	2 	26 	1545 	2799 	3241 	0 	0 		C 	13519 	3 			C 	76748 
Djibouti	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Dominica	0 	0 		0 			0 			0 		0 	C 		0 		0 		0 		0 		0 	0 			0 			13 			0 	0 					1 				3 	0 									0 			0 	0 		0 	0 			0 	0 	0 				17 
Dominican Republic	0 	0 		5 	14 	0 	0 	1 		28 	133 	0 			0 	2 	0 		5 		0 		10 	27 			0 			15 		5 	14 	1 					43 				15 	3 				117 					0 			0 	1 		0 	0 			84 	310 	0 		0 		832 
Ecuador	0 	0 	C 	6 	65 	0 	12 	0 		2 	28 	0 	0 		0 	5 	0 		20 		0 		10 	34 	5 	83 	0 						57 	3 					220 	1 			12 	4 				9 			0 		1 			0 	1 	0 	20 	0 			45 	770 	1 				1415 
Egypt	0 	0 	2 	4 		0 	0 	0 		1 		0 			0 		3 		14 		0 		20 	10 	5 	75 	0 			11 	15 		20 	1 			2 	1 	110 	1 	2 	9 	1 								0 		0 			0 	0 	1 	10 	0 			C 	485 	0 				802 
El Salvador	0 	0 		2 	34 	0 	0 			2 	33 	0 			0 	21 	0 		33 		0 		8 	10 		0 	0 			15 			10 	4 					8 				7 					21 					0 			0 	0 		1 	0 			C 	291 	0 				502 
Equatorial Guinea	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Eritrea	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 	0 	0 	0 			0 	0 	0 				0 
Estonia	0 	0 		83 		6 	0 			1 	2 	0 			0 		9 		22 			158 	6 	157 		15 	6 			29 	0 		53 	10 					191 	1 			23 			6 							0 			0 	2 	144 	3 	0 			C 	89 	0 				1017 
Ethiopia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Falkland Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Faroe Islands	0 	0 		0 		0 	0 			0 		0 			0 		0 		7 		0 		0 	0 			0 						0 						0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				7 
Fiji	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
Finland	31 	0 	300 	1632 		2665 	281 	1 	2 	1535 	11 	34 	596 	9 	0 	0 	1 	6 	1219 		82 		14895 	16417 	56 	523 	3 	44 	2 	4179 	286 		3476 	5800 	277 	7 	3 	5 	8282 	1 	2 	0 	6476 	21 	0 	1875 				7 	419 		0 	427 	1 	27 	2032 	5913 	4282 	0 			12416 	37570 	0 			3844 	137976 
France	19 	0 	3173 	9325 	105 	36281 	2637 	39 	35 	8720 	700 	49 	5158 	161 	17 	1 	196 	201 	5385 	63 	31 	11578 		80253 	1271 	3346 	108 	39 		20996 	199 	74 	53984 	66552 	7937 	184 	411 	136 	69241 	8 	181 	159 	53536 	113 	39 	7321 		3 	33 	93 	6347 	0 	25 	5032 	6 	268 	27016 	8877 	33832 	0 	13 		93931 	134989 	15 	1 	4 	87524 	847968 
French Southern Territories	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
French Territories: French Polynesia	0 	0 		2 		0 	0 			0 		0 			0 		0 		0 		0 		19 	0 			0 						0 	0 	3 				0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				24 
French Territories: New Caledonia	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 	2 									0 			0 	0 	0 	0 	0 			0 	0 	0 				2 
Gabon	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		64 	0 			0 			1 			0 	0 					1 				0 								0 		0 			0 	0 		4 	0 			C 		0 				69 
Gambia, The	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					3 				0 										0 			0 	0 		0 	0 			C 	24 	0 				27 
Georgia	0 	0 		0 		2 	0 			0 		0 			0 		0 		1 		0 		0 	0 			0 				0 		0 	0 	31 				44 				12 			215 							3 			0 	0 		0 	0 			C 	2 	0 				309 
Germany	100 	0 	2922 	43128 	38 	35685 	4383 	65 	51 	5302 	2701 	214 	9435 	257 	84 		240 	936 	16270 	82 	316 	10807 	123368 		680 	7637 	74 	29 	8 	39138 	406 	337 	56461 	121007 	13615 	172 	123 	12 	171262 	13 	423 	119 	106095 	257 	61 	20420 		263 	31 	187 	8695 		495 	9807 	135 	64 	41656 	11309 	63305 	15 	52 		127297 	130954 	7 	2 	10 	171713 	1360732 
Ghana	0 	0 		1 		0 	0 			8 		0 			0 		0 		0 		0 		5 	3 		5 	0 				0 		1 	3 					21 			3 	0 										0 			0 	0 		2 	0 			C 	565 	0 				616 
Gibraltar	0 	0 	C 	52 		110 	0 	0 		0 		0 			0 		0 		0 		0 		6 	524 		4 	0 			33 	7 		102 	0 					1248 				89 							14 	779 		0 			0 	225 		31 	0 			C 	14 	0 				3239 
Greece	0 	0 	100 	3734 		6505 	283 		12 	140 	0 	7 	173 	3 	0 		149 	0 	195 		0 	522 	16039 	17540 		605 	0 	0 		3500 	0 		5004 	2935 	66 	11 	6 		6100 	0 	77 		7787 	2 	0 	907 			1 		0 		0 	29 	4 	42 	1210 	457 	482 	0 			C 	4111 	0 			1261 	80001 
Greenland	0 	0 		0 		0 	0 			0 		0 			0 		0 		5 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				5 
