COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Netherlands	Netherlands Antilles	New Zealand	Norway	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 	0 	0 	0 			0 	0 			0 		0 	0 				0 	0 	0 		0 		0 	0 			0 			0 	0 		0 	0 			0 		0 				0 			0 			0 			0 						0 	0 			0 		0 				0 
Albania	0 	0 	0 	0 			8 	0 			0 		0 	0 				0 	0 	0 		0 		75 	0 	15 		0 			0 	0 		45 	22 			0 		0 				0 			0 			0 			0 						0 	1 			C 	10 	0 				175 
Algeria	0 	0 	0 	3 			0 	1 			0 		0 	0 				1 	0 	0 		0 		8 	0 		48 	0 			0 	0 		0 	0 			0 		17 				0 			0 			0 			0 						0 	0 			39 		0 				117 
American Samoa	0 	0 	0 	0 			0 	0 			0 		0 	0 				0 	0 	0 		0 		0 	0 		0 	0 			0 	0 		0 				0 		31 				19 			0 			0 			0 							0 			0 		0 				50 
Andorra	0 	0 	0 	0 			0 	0 			0 		0 	0 				0 	0 	0 		0 		0 	0 		5 	0 			0 	0 		0 	24 			0 		2 				1 			1 			0 			0 						4 	0 			0 		0 				38 
Angola	0 	0 	0 	0 			0 	0 	0 		0 		0 	0 				0 	0 	0 		0 		0 	0 			0 			0 	0 		0 	0 			0 		0 				0 			0 			0 	9 		0 						0 	0 			0 		0 				9 
Anguilla	0 	0 	0 	0 			0 	0 			0 		0 	0 				1 	0 	0 		0 		0 	0 			0 			0 	0 		0 	0 			9 		0 				0 			0 			0 			0 							0 			0 		0 				10 
Antigua and Barbuda	0 	0 	0 	0 			0 	9 	2 		0 		0 	0 				0 	0 	0 		0 		0 	0 			0 			0 	0 		0 	63 			0 		0 				0 	2 		0 			0 			0 							0 			C 		0 				75 
Argentina		0 	0 	291 	153 	225 	232 	77 	118 	0 	358 	1038 	15 	0 	5 	9 	2 	-2 	0 	826 		0 		530 	1116 	1 	10 	0 	2 		41 	42 		9457 	1934 	32 		0 	2 	1081 		1 	0 	358 	70 	0 	2 	32 	9 	0 	8 		0 	0 			464 	10 	336 	0 	0 		1385 	4713 	169 		3 		25154 
Armenia, Republic of	0 	0 	0 	0 			0 	0 			0 		0 	0 				0 	0 	0 		0 		0 	0 		0 	0 			0 	0 		0 	0 			0 		0 				0 			0 			0 			0 						0 	0 			C 		0 				0 
