COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 			0 	0 	0 		0 			1 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 	6 				0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	7 
Albania	0 		C 	21 			0 	0 	0 		4 			18 	0 		0 	0 		0 		12 	0 	1 	0 	3 	21 		75 	0 	0 			0 	15 	0 		15 	0 		0 	0 	0 		2 		0 	82 					5 	0 	6 				C 	0 		0 			0 		0 	0 	6 	0 	0 		45 	15 	0 	0 	C 	346 
Algeria	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		3 	0 		0 	160 	0 			0 	0 			0 	0 	0 			0 		0 	0 	0 	164 			0 	0 			44 		0 	0 	0 				0 	0 		0 			0 		0 	0 	28 	0 	0 		26 	0 	0 	0 	0 	425 
American Samoa	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 	5 				0 	0 		0 			0 		0 	0 		0 	0 		0 	0 	2 	0 	0 	7 
Andorra	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 	21 	0 	0 		0 	42 	0 			0 	0 			0 	0 	0 			14 	20 	0 	0 	0 				0 	0 					0 	0 					0 	0 		5 	C 		0 		0 	101 	0 	0 	0 		14 	0 	1 	0 	0 	217 
Angola	0 		0 	0 			0 	0 	0 	1 	0 		2 	0 	0 		0 	0 		0 		0 	0 		0 		0 			20 	0 			0 	1 	0 			0 		0 	0 	0 				0 	0 			107 		0 	0 	1 				0 	240 		0 			0 	5 	0 	0 	0 	0 	0 		58 	0 	0 	0 	0 	435 
Anguilla	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 	9 	0 			0 	0 			0 	0 	0 			0 	34 	0 	0 	0 				0 	0 					0 	0 					0 	0 		0 			0 		0 	0 		0 	0 		583 	0 	0 	0 	0 	627 
Antigua and Barbuda	0 		0 	0 			0 	4 	0 	0 	0 			0 	0 		0 	0 		0 	0 	0 	0 		0 	0 	1 		0 	0 	0 			0 	5 	0 		1 	0 		0 	0 	0 				0 	3 	0 				1 	0 					0 	0 		0 			0 		C 	0 		0 	0 		3 	112 	0 	0 	0 	132 
Argentina		0 	39 	298 	104 	2 	1 	78 	95 	164 	0 	72 	120 	530 	26 	0 	2 	5 	8 	9 	0 	682 	0 		0 	551 	995 	2 	3 	257 	1 	1 		1 	361 	1 		3940 	788 	17 	0 	21 	0 		45 	15 	0 	4252 	0 		0 	1 	711 	0 	73 		4 	0 	C 	0 		0 	8 		0 	2 	223 	1 	202 	0 	0 		2921 	10795 	166 	204 	C 	28798 
Armenia, Republic of	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 	17 	0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	96 					3 	0 			0 		0 	0 		1 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	C 	117 
Aruba	0 		0 	20 			0 	0 	0 		0 		22 	0 	0 		0 	0 	145 	0 		0 	0 		0 		4 			1 	0 			0 	3 	0 		0 	998 		0 	0 	0 				0 	9 					0 	0 			0 		0 	0 		0 			0 		0 	0 	1 	0 	0 		34 	637 	0 	0 	C 	1874 
Australia	4 	2 		2750 	8 	278 	716 	5613 	6847 	6 	0 	19089 	227 	169 	35235 	818 	21 	6 	22 	276 	119 	1696 	0 	5 	1573 	27228 	20201 	2 	36 	1262 	3 	36 	18 	98 	25777 	223 	521 	5154 	138895 	1896 	1060 	2343 	0 	0 	1 	29 	48 	49913 	740 	316 	204 	10 	21797 	17600 	13341 	0 	15 	0 	5 	815 		1034 	27176 		137 	221 	2457 	6819 	22231 	1341 	0 		99394 	323303 	11 	2 	C 	889193 
Austria	0 		991 			22 	248 	16696 	857 	216 	75 	1150 	13 	136 	472 	24 	5 	70 	0 	93 	2241 	1462 	0 	108 	2938 	73843 	92233 	2 	890 	1604 	940 	5 		1 	8875 	31 	102 	10850 	17890 	2254 	250 	84 	29 		16 	1 	131 	28444 	30 	390 	3 		25632 	0 	5082 	3 	2 		887 	1485 	376 	91 	C 	1567 	1018 	40 	6965 	553 	34928 	106 	50 		8515 	18070 	155 	0 	40790 	413030 
Azerbaijan, Republic of	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			9 	0 			0 	0 	0 			0 	28 	0 	0 	0 		1 		0 	94 					0 	0 	8 		0 		0 	0 		0 			0 		0 	0 	4 	0 	20 		81 	0 	0 	0 	C 	246 
Bahamas, The	0 		C 	73 			0 	18 	4 	1706 	0 	941 	387 	8 	15 	11 	0 	0 	209 	0 	0 	280 	0 		85 	863 	131 			927 	0 			0 	265 	2 		2409 	1959 	714 	36 	0 	0 	138 	0 	0 	0 	1352 	10 			30 	102 	0 	112 		6 		0 	37 		7 	C 		0 	1 	C 	85 	1957 	0 	0 		211 	2009 	0 	0 	C 	17103 
Bahrain, Kingdom of	0 		0 	39 			0 	1 	48 		0 	5 		0 	116 	0 	0 	1 	0 	22 		52 	80 		0 	141 	134 		3 	75 	0 		3 	1 	108 	0 		13 	54 	539 	0 	6 	0 	8064 		265 	0 	200 	50 		1 		20 	0 	89 	11 	1 	0 	0 	0 		0 	C 		2 		C 	0 	93 	6 	6 		1299 	0 	0 	0 	C 	11547 
Bangladesh	0 		0 	1 		0 	0 	0 	0 		0 			0 	244 		0 	1 		1 		94 	0 		0 		1 			0 	0 			9 	0 	0 			0 	31 	0 	0 	0 	24 			0 	40 					0 	0 			0 		0 	0 		0 	C 		1 		0 	0 	0 	0 	0 		28 	69 	0 	0 	0 	547 
Barbados	0 		C 	45 				6 	93 		0 	49 	12 	268 	0 		0 	6 	1 	0 	0 	19 	0 		0 	0 	47 			68 	0 			0 	98 	0 		3 	23 		0 	0 	0 				0 	201 					21 	0 	3 		5 		0 	0 		0 	C 		0 		0 	0 	9 	25 	0 		105 	1476 	2 	0 	C 	2584 
Belarus	0 		C 	31 		0 	0 	0 	0 		1 			0 	0 		0 	0 		8 		38 	0 	0 	0 	27 	37 			0 	0 	0 		0 	4 	0 		29 	26 	2 	0 	0 	0 		1 		1 	190 					28 	0 			0 		C 	0 		369 			0 		0 	0 	3 	0 	0 		103 	109 	0 	0 	C 	1009 
