COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Afghanistan, Islamic Republic of	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 				0 	0 				0 	0 		0 	6 				0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	6 
Albania	0 		C 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 	3 	1 		78 	0 	0 			0 	33 	0 		63 	0 		0 	0 				0 	25 				0 	6 		0 					0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	6 	0 	0 	C 	215 
Algeria	0 		0 	0 			0 	0 	0 	0 	0 			0 	0 				0 		0 	1 		0 	48 	0 			0 	0 			0 	0 	0 			0 	6 	0 	0 	160 			0 	0 			114 	0 	0 	0 	0 	0 				0 	0 		0 			0 		0 	0 	0 	0 	0 		115 	0 	0 	0 	0 	444 
American Samoa	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 				0 	0 				0 	0 		0 					0 	0 		0 			0 		0 	0 		0 	0 		0 	0 	1 	0 	0 	1 
Andorra	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 	1085 	0 			0 	0 			0 	0 	0 			0 		0 	0 				0 	1 				0 	0 		0 			0 		0 	0 		2 	C 		0 		0 	105 	201 	0 	0 		-60 	0 	1 	0 	0 	1335 
Angola	0 		0 	0 			0 	0 	0 	0 	0 		11 	0 	0 				0 		0 	0 		0 		0 			25 	0 			0 	1 	0 			0 		0 	0 				0 	0 			21 	0 	0 		0 	0 		0 		0 	237 		0 			0 		0 	0 	0 	0 	2 		66 	6 	0 	0 	0 	369 
Anguilla	0 		0 	0 			0 	0 	0 	0 	0 			0 	C 				0 		0 	0 		0 	9 	0 			0 	0 			0 	0 	0 	1 		0 		0 	0 				0 	0 				0 	0 		0 	1 		0 		0 	0 		0 			0 		0 	0 		0 	0 		0 	1 	0 	0 	0 	12 
Antigua and Barbuda	0 		0 	0 			1 	2 	0 	0 	0 			2 	3 				0 	0 	0 	0 		0 	0 	1 	13 		0 	0 			0 	0 	0 		2 	0 		0 	0 				0 	1 	0 			0 	1 		0 			0 		0 	0 		0 	C 		0 		C 	0 		0 	0 		0 	114 	0 	0 	0 	140 
Argentina		0 	48 	131 	112 		47 	102 	17 	195 	0 	54 	354 	410 	21 	0 	5 	14 	4 	0 	619 	0 		C 	391 	766 		1 	277 	1 	1 		0 	729 	0 	1 	2794 	673 	31 	0 	8 		52 	2 	0 	2586 	0 		0 	1 	679 	1699 	0 	38 		10 	0 	0 	15 		2 	17 		3 	0 	145 	12 	158 	0 	0 		-330 	7296 	63 	298 	C 	20555 
Armenia, Republic of	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 	11 	0 			0 	0 			0 	0 	0 			0 		0 	0 				0 	54 				0 	1 		0 			0 		0 	0 		1 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	C 	67 
Aruba	0 		0 	10 			0 	0 	6 	0 	0 		20 	0 	1 				10 		0 	0 		0 	20 	58 			0 	0 			0 	14 	0 		0 	804 	5 	0 	0 				0 	119 				0 	169 	236 	0 	29 		0 		0 	0 		0 	C 		0 		0 	0 	36 	0 	0 		1 	848 	0 	0 	C 	2387 
Australia	15 	2 		2625 	2 	250 	2322 	4767 	6974 	3 	0 	13643 	327 	328 	41533 	722 	21 	21 	534 	86 	1425 	0 	3 	1237 	26247 	19795 	11 	53 	1689 	2 	31 	4 	153 	34190 	172 	365 	3796 	107951 	2230 	851 	1446 	2 	1 	15 	38 	40741 	460 	251 	203 	16 	23479 	36 	10198 	12454 		9 	92 	0 	1019 		617 	27522 		173 	105 	3759 	6392 	16981 	1120 	0 		90430 	276431 	1 	3 	32360 	820738 
Austria	1 		805 		21 	9 	116 	14688 	818 	194 	64 	1004 	25 	22 	563 	23 	7 	28 	340 	2078 	1144 	0 	182 	2936 	69716 	96810 	10 	598 	1611 	787 	4 		0 	9800 	32 	199 	22680 	16402 	3833 	114 	33 		2 	0 	130 	27958 	36 	454 	1 	0 	22926 	1 	22 	4317 		0 		910 	1615 	366 	16 	C 	1621 	974 	4 	10830 	880 	37156 	99 	22 		9507 	14974 	28 	0 	27040 	409585 
Azerbaijan, Republic of	0 		0 	0 			0 	0 	0 		0 	1 		0 	0 				0 		0 	0 		0 		0 			3 	0 			0 	0 	0 			0 	8 	0 	0 		2 		0 	87 				0 	4 		0 	1 		0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		112 	0 	0 	0 	C 	219 
Bahamas, The	0 		C 	43 		2 	0 	38 	1227 	1095 	0 	239 	622 	113 	108 	9 			15 	0 	176 	1 	1 	63 	804 	13 			1120 	0 			0 	285 	2 		38 	1966 	353 	34 	0 	141 	0 	0 	0 	1413 	19 			59 	78 	332 	0 	53 		0 	0 	0 	38 		2 	C 		0 	1 	C 	77 	1789 	0 	0 		301 	2171 	10 	0 	C 	14852 
Bahrain, Kingdom of	0 		0 	14 			0 	8 	0 		0 	8 	3 	0 	72 	6 		1 	20 		21 	109 		0 	62 	66 		1 	116 	0 			0 	95 	0 		7 	11 	188 	0 	2 	7266 		150 	0 	46 	91 		2 	0 	61 	0 	0 		0 	0 	0 	0 	0 		0 	C 		2 		0 	0 	54 	8 	6 		610 	0 	0 	0 	C 	9106 
Bangladesh	0 		0 	0 			0 	0 	0 		0 			0 	168 			25 	0 		101 	0 		0 		1 			0 	0 		0 	0 	3 	0 			0 		0 	0 	19 			0 	9 			38 	0 	0 		0 			0 		0 	0 		0 	C 		0 		0 	0 	0 	0 	0 		31 	13 	0 	0 	0 	410 
Barbados	0 		0 	16 				7 	1 		0 	40 	15 	0 	0 			5 	32 	0 	8 	0 		0 	0 	14 			44 	0 			0 	111 	0 		2 	11 	5 	0 	0 				0 	151 				0 	19 	2 	0 	3 		0 		0 	0 		0 			1 		0 	0 	8 	22 	0 		41 	1365 	0 	0 	C 	1923 
Belarus	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 	0 	0 		0 			0 	0 	0 		0 	0 	0 			0 		0 	0 		2 		0 	0 				0 	0 		0 			0 		0 	0 		2 			0 		0 	1 	0 	0 	0 		0 	0 	0 	0 	C 	5 
Belgium	0 		4653 	5604 		149 	0 		990 	163 	9 	1860 	2 	299 	968 	43 	1 	40 	335 	225 	1591 	19 	177 	3064 	104961 	32853 	8 	97 	918 	173 	7 	0 	0 	18803 	10 	121 	13290 	20421 	1211 	292 	134 	20 	3 	12 	101 	61147 	1 	226 	114 	0 	27870 	5 	21 	4892 	0 	0 	0 	0 	1991 	3 	18 	C 	133 	878 	21 	19416 	1354 	7402 	13 	0 		26541 	36751 	4 	0 	45580 	448009 
Belize	0 		0 	3 			0 	0 	0 	5 	0 	4 	1 	0 	C 				0 		15 	0 		0 	0 	1 			0 	0 			0 	3 	0 		1 	0 		0 	0 				0 	14 	4 			0 	9 		0 			0 		0 	0 		34 	C 		0 		0 	0 	3 	0 	0 		0 	76 	0 	0 	0 	173 
Benin	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		1 	0 		0 		0 			0 	0 			0 	0 	0 			0 	5 	0 	0 				0 	0 				0 	0 		0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	5 
Bermuda	0 	2 	3705 	478 	22 	74 	14 	712 		2813 	0 	7736 	8 	0 	88864 	549 		0 	19 	79 	1192 	0 	0 	1449 	7890 	2017 		12 	3027 	4 	1 		9 	6406 	706 	36 	819 	13871 	330 	3 	833 	166 	0 	9 	1 	17015 	138 		839 	0 	5059 	77 	0 	3797 	0 	1 	0 	0 	117 		108 	6625 		6 	10475 	423 	2381 	3248 	16 	0 		11696 	147962 	6 	0 	C 	353847 
Bhutan	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 				0 	0 				0 	0 		0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 
Bolivia	0 		0 	0 			0 	0 	0 	55 	0 		3 	0 	0 				0 		0 	0 		0 		0 			0 	0 			0 	17 	0 			0 		0 	0 				0 	49 				0 	3 		0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		11 	0 	0 	0 	0 	139 
Bonaire, Sint Eustatius and Saba																																																																													
Bosnia and Herzegovina	0 		0 	16 			0 	0 	0 	0 	0 		7 	0 	0 				0 		101 	0 	1 	0 	0 	3 			15 	0 	0 		0 	19 	0 		2 	0 		0 	3 	27 			2 	378 				0 	14 		0 			0 		0 	0 		0 		0 	89 		0 	0 	0 	0 	0 		4 	110 	0 	0 	C 	793 
Botswana	0 		0 	0 			0 	0 	0 		0 			0 	0 				0 		0 	0 		0 	0 	12 			3 	0 			0 	4 	0 			0 	5 	0 	0 				0 	0 			261 	0 	0 	0 	0 			0 		0 	0 		0 			0 	51 	0 	0 	0 	0 	0 		3 	40 	0 	0 	0 	379 
